DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28485.00005826831,4508.538504394941,487.8523719124232,4494.881910510645,5626.547491471457
28485.00075271275,4380.441256536294,52.17692266673703,4445.437307674013,5700.061995389037
28485.00185041181,4144.355268580734,-636.2055805401512,4333.072330824586,5772.082771778252
28485.00300939534,3852.896962532298,-1356.362099433328,4170.315466370401,5789.154725685406
28485.00417964269,3517.990813923613,-2069.146531445717,3962.030367935605,5745.209675803319
28485.00535515,3144.32471616581,-2763.164069075286,3710.868890043598,5640.072521482498
28485.00653500943,2735.940121915425,-3430.40027206653,3419.452105671602,5474.595208696858
28485.0077188276,2297.158917510775,-4063.425678169092,3090.794271349782,5250.322643795862
28485.00890625524,1832.652157133482,-4655.187947391156,2728.334190837562,4969.467653668723
28485.01009686365,1347.432730125617,-5199.030964773494,2335.931340957034,4634.91198489623
28485.01129021707,846.7725142111506,-5688.816492217624,1917.804258020803,4250.165131760044
28485.0124858433,336.1536028045613,-6118.987918134801,1478.492832976121,3819.335705129331
28485.01368326792,-178.8097346358232,-6484.654806212786,1022.794718519658,3347.075941379467
28485.01488198494,-692.4248075635929,-6781.645624807152,555.7205283009785,2838.540378431689
28485.01608147512,-1198.99632355177,-7006.570575910197,82.42848346064903,2299.321185551144
28485.01728123668,-1692.907938248304,-7156.870854837342,-391.849281705329,1735.368441598326
28485.01848077441,-2168.684791539875,-7230.845693915728,-861.8652039769013,1152.923001302377
28485.01967959285,-2621.056537403137,-7227.673382708396,-1322.416394633253,558.4453580908607
28485.02087722562,-3045.031550019296,-7147.421208017942,-1768.418164620343,-41.47629071394977
28485.02207322844,-3435.952161115383,-6991.039672482466,-2194.961184968148,-640.2018434355075
28485.02326717935,-3789.54860829415,-6760.347514968977,-2597.369048626081,-1231.118509535095
28485.0244586982,-4101.992772576083,-6458.001132303042,-2971.258521173993,-1807.728391266627
28485.02564743995,-4369.936716647338,-6087.45646646677,-3312.585743282734,-2363.720326961972
28485.02683308699,-4590.546156409397,-5652.92491302555,-3617.688399167161,-2893.038409673272
28485.02801538714,-4761.534999425565,-5159.303182297363,-3883.333820072749,-3389.966309481621
28485.02919410153,-4881.176140995719,-4612.128913678011,-4106.738166887404,-3849.166247436491
28485.03036903117,-4948.321546662312,-4017.502953627431,-4285.601261494068,-4265.748567483504
28485.03154003377,-4962.408611538107,-3382.004323051722,-4418.128834122615,-4635.327355755344
28485.03270697935,-4923.458347830389,-2712.634104251668,-4503.041091892371,-4954.049362124566
28485.0338697956,-4832.069767697815,-2016.708805127194,-4539.586824961307,-5218.645837659208
28485.03502842969,-4689.407609088059,-1301.797051517432,-4527.542693687368,-5426.451691447955
28485.03618286024,-4497.184491606788,-575.6273923953502,-4467.212234286579,-5575.433285012944
28485.03733311323,-4257.632973197456,154.0084478150816,-4359.41545228257,-5664.205471256709
28485.03847922962,-3973.48119859242,879.3209491385849,-4205.476239341691,-5692.035991026662
28485.03962129016,-3647.913669551142,1592.622703419036,-4007.201094489159,-5658.849393495336
28485.04075939591,-3284.536729784942,2286.398217162997,-3766.857044213245,-5565.220477025294
28485.0418937026,-2887.324252754303,2953.403244659118,-3487.134935860658,-5412.358024918077
28485.04302436869,-2460.587750750587,3586.707522370617,-3171.127033312996,-5202.089284081128
28485.04415159408,-2008.914520025906,4179.787721307624,-2822.28146437728,-4936.830193670173
28485.04527560791,-1537.119821458687,4726.583526616292,-2444.364080407131,-4619.553620586798
28485.04639667541,-1050.190905902153,5221.557749104268,-2041.412777601571,-4253.749075399985
28485.04751508943,-553.2367348028737,5659.741882333072,-1617.6949022259,-3843.381823530894
28485.04863117158,-51.43398979048817,6036.77963660436,-1177.660507642609,-3392.845969611364
28485.0497452927,450.0351523421484,6348.967439140182,-725.886674505768,-2906.905019233419
28485.05085784307,946.0209026578294,6593.269981820969,-267.041936221803,-2390.650585125708
28485.05196923246,1431.455310643258,6767.342399591682,194.1598230997454,-1849.449544412737
28485.05307989025,1901.399938045742,6869.54505053978,653.005042387284,-1288.889419410586
28485.05419027332,2351.094152138155,6898.950803797257,1104.828183964936,-714.7187888045605
28485.05530086249,2775.995190714857,6855.342837711023,1545.052836224052,-132.7932475410644
28485.0564121435,3171.809667727292,6739.209113673867,1969.224732990403,450.9692413683199
28485.05752459223,3534.526194170508,6551.736988772606,2373.045882083975,1030.634391539526
28485.05863869244,3860.456850412465,6294.798596943835,2752.419417738071,1600.314360842249
28485.05975491292,4146.262188752235,5970.936586064534,3103.477639379229,2154.208703470577
28485.06087372624,4388.986013923023,5583.336533447728,3422.622480271888,2686.665510910611
28485.06199556533,4586.07250228424,5135.814097266879,3706.54526846135,3192.211236754546
28485.06312084262,4735.397614432341,4632.780402195432,3952.265085107574,3665.61129322189
28485.06424992452,4835.289136209787,4079.218749619698,4157.153447768631,4101.909469493155
28485.06538313956,4884.55042202701,3480.643286701269,4318.966127165695,4496.482154663762
28485.06652077778,4882.478134945588,2843.054510292952,4435.869453003306,4845.086413715582
28485.06766306742,4828.877341309902,2172.902770570288,4506.462439548973,5143.900173031222
28485.06881017765,4724.075222507608,1477.032899592931,4529.801031557322,5389.570981747442
28485.06996222548,4568.928246700854,762.6190599456629,4505.417530357644,5579.261555711252
28485.07111923886,4364.83074051352,37.12082304864725,4433.337485186376,5710.6854520215
28485.07228120686,4113.705917355631,-691.8208609237631,4314.089973782208,5782.152785536486
28485.07344804136,3818.002903781212,-1416.438234961772,4148.7147556421,5792.596559592484
28485.07461960695,3480.675080050301,-2128.938240142463,3938.759195467905,5741.600268050598
28485.07579567445,3105.171382111739,-2821.561020319652,3686.280345438053,5629.418824530481
28485.07697599508,2695.38548365512,-3486.714255713097,3393.818367877035,5456.985859815198
28485.07816022738,2255.642914152735,-4117.021168563557,3064.392420957797,5225.923312436057
28485.07934802534,1790.627372354795,-4705.459930620151,2701.451795503203,4938.52138629653
