DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
27592.00004669423,4871.599042907704,-1997.974465275831,-4470.614425430203,5302.990165486
27592.00074113868,4759.555269696257,-1572.646423204182,-4585.734760056064,5362.194136455291
27592.00183925706,4545.794694862943,-888.6085889097574,-4732.190629433142,5414.222719148197
27592.00299807524,4273.916378165677,-157.8756268071718,-4838.47579670155,5413.794983982594
27592.00416768812,3954.472426729428,581.2570070091451,-4894.759209785754,5356.171552182117
27592.0053424138,3591.789216722108,1317.411532154512,-4899.492285145255,5241.474405621675
27592.00652139687,3189.748676439976,2042.224056530455,-4852.34469902083,5070.696137965469
27592.00770426458,2752.577317761536,2747.725934097432,-4753.609987400743,4845.463148356042
27592.00889069344,2284.898484153572,3426.159568986133,-4604.16001736183,4568.014831849557
27592.01008028576,1791.725894280955,4069.995251717355,-4405.447256406296,4241.203337628172
27592.011272664,1278.37232347798,4672.074254495485,-4159.481743702917,3868.444466003962
27592.01246735845,750.4378540280619,5225.637048370313,-3868.833811225238,3453.716004940498
27592.01366390378,213.7063347309238,5724.459504793571,-3536.59302164799,3001.489546046679
27592.01486182911,-325.9182309578885,6162.922563691985,-3166.334924737552,2516.681844039971
27592.01606063909,-862.4723756786897,6536.075486884951,-2762.087501615725,2004.606843207072
27592.01725983528,-1390.013540229425,6839.707782275823,-2328.279902882751,1470.906496998279
27592.0184589165,-1902.691472537033,7070.402713305321,-1869.690954624031,921.4843082493339
27592.01965740676,-2394.830250253384,7225.584637188167,-1391.381869275785,362.4222291325432
27592.0208548341,-2860.98673879005,7303.544457815157,-898.6435507062499,-200.0825949008063
27592.02205073944,-3296.019460417604,7303.462122390554,-396.9301931847596,-759.7959058897698
27592.02324468287,-3695.152109590444,7225.415586636466,108.208726979493,-1310.524003601101
27592.02443626012,-4054.034531265495,7070.375018899331,611.2020243862656,-1846.195210965428
27592.02562512191,-4368.795529737198,6840.179430404837,1106.531066231079,-2360.939224240307
27592.02681091178,-4636.06783847395,6537.519416656395,1588.76842378101,-2849.127740330665
27592.02799334006,-4853.043767846236,6165.885865768489,2052.671476218078,-3305.470789332672
27592.02917212499,-5017.489681673756,5729.536350828281,2493.218377581737,-3725.051665893064
27592.03034706389,-5127.777862796459,5233.414309475933,2905.691233185329,-4103.406739269467
27592.03151796175,-5182.887891820399,4683.109626559135,3285.70032148142,-4436.5462945426
27592.03268468257,-5182.417490287462,4084.767476579174,3629.248991902568,-4721.012203348166
27592.03384712161,-5126.577106886769,3445.023490663902,3932.764687850662,-4953.902116284295
27592.0350052133,-5016.180900949231,2770.919790449988,4193.136827133143,-5132.898120474943
27592.03615895274,-4852.626312834817,2069.807671588228,4407.749208618724,-5256.287045639039
27592.03730836012,-4637.873272382133,1349.282363943521,4574.4935628797,-5322.965002674056
27592.03845348398,-4374.417268675857,617.0961627220547,4691.788470473596,-5332.4443005966
27592.03959442769,-4065.249028745708,-118.9446271495087,4758.592155517807,-5284.850801765647
27592.04073132402,-3713.820103909853,-851.0483065318881,4774.402291150188,-5180.912449431275
27592.04186433732,-3324.000159295916,-1571.521449034964,4739.254899693286,-5021.944249156262
27592.04299367212,-2900.027534567022,-2272.853675018364,4653.716135481945,-4809.825075520113
27592.04411956507,-2446.462311624553,-2947.787749169087,4518.868521897604,-4546.970681088375
27592.04524228608,-1968.134638449698,-3589.390881295491,4336.292413424703,-4236.301130868788
27592.04636212134,-1470.099485460567,-4191.111272646896,4108.046392207346,-3881.209459575998
27592.04747938495,-957.5786441690677,-4746.846511066487,3836.639769742221,-3485.519498730883
27592.04859443512,-435.898713203509,-5251.005571909121,3524.996784281411,-3053.435448333773
27592.04970764702,89.55038286011879,-5698.542816835803,3176.428371390441,-2589.504532329699
27592.05081944067,613.3811782998341,-6085.010812943851,2794.586731149806,-2098.557268956441
27592.05193021456,1130.228978365166,-6406.572254758635,2383.448814221586,-1585.686827713345
27592.05304042546,1634.839529291859,-6660.057581309434,1947.248406286696,-1056.163324501368
27592.05415052599,2122.087985206462,-6842.967389388012,1490.455693406087,-515.4103318687071
27592.05526098749,2587.03572419788,-6953.497006015418,1017.725919076561,31.05684961559609
27592.05637226825,3024.9612681889,-6990.545410706743,533.8689057847487,577.6670209305094
27592.0574848539,3431.418850895738,-6953.725182481438,43.78727122418019,1118.864063706354
27592.05859922164,3802.262585716961,-6843.359761661162,-447.5529756410248,1649.13964225872
27592.05971581328,4133.676519349893,-6660.486562882609,-935.1552608187284,2163.070714124556
27592.06083506234,4422.220899382974,-6406.849755785507,-1414.049925254191,2655.382850005155
27592.06195738917,4664.862761062516,-6084.886238473718,-1879.337536476228,3120.996587238111
27592.06308316394,4858.999011830403,-5697.718994064818,-2326.219296445367,3555.060608534316
27592.06421271741,5002.490648984652,-5249.135743139773,-2750.048760303199,3953.006251134265
27592.06534635534,5093.690534791574,-4743.554909912822,-3146.383430752307,4310.59973366764
27592.0664843407,5131.462407788567,-4185.997287210535,-3511.022964618764,4623.980373437515
27592.0676268538,5115.201089869138,-3582.067989656669,-3840.04283735979,4889.695452903905
27592.06877405306,5044.850514720268,-2937.880904317637,-4129.858611441048,5104.759564155238
27592.06992602822,4920.913370296395,-2260.029113997973,-4377.254063105359,5266.681303084048
27592.07108280413,4744.459150341439,-1555.524998158709,-4579.424940765502,5373.502290346491
27592.07224437072,4517.119249607333,-831.7157669765954,-4734.021932706149,5423.831124665585
27592.0734106495,4241.084574758693,-96.23138836925932,-4839.177889628955,5416.86518305063
27592.07458149519,3919.094587194594,643.0936307562422,-4893.540228587151,5352.413758676713
27592.07575674467,3554.403433830351,1378.333852752654,-4896.297297693469,5230.908413653628
27592.07693612983,3150.778551439207,2101.504837970367,-4847.195168812146,5053.416428424368
27592.078119376,2712.437262142931,2804.714558121295,-4746.551724023933,4821.630940437784
27592.07930613527,2244.027651018641,3480.21377130181,-4595.263642599321,4537.870223735399
27592.08049604441,1750.56023944861,4120.522190568516,-4394.800289896173,4205.049431262468
27592.08168866826,1237.377488835566,4718.488020213279,-4147.202878581369,3826.669491628675
27592.08288357085,710.0658803697963,5267.414982864372,-3855.056267002783,3406.763914770338
27592.08408030286,174.3968440793447,5761.135798958194,-3521.463203104096,2949.857375799608
27592.08527835901,-363.7205609904184,6194.073510404226,-3150.025129923142,2460.933667698901
27592.08647725615,-898.343851738493,6561.344901016491,-2744.781617887249,1945.350201461764
27592.08767650239,-1423.553937377348,6858.807479324052,-2310.171961431145,1408.786845954356
27592.08887557533,-1933.516896911387,7083.110179962278,-1850.993196999911,857.1901085930235
27592.09007400715,-2422.590795176915,7231.753774434158,-1372.311748996768,296.6637862828575
27592.09127131629,-2885.363648748381,7303.105091067107,-879.4279015718166,-266.5734774281682
27592.09246705612,-3316.737831984594,7296.422797606267,-377.7933444778396,-826.2850862973764
27592.09366079915,-3711.98311856556,7211.860523244541,127.0481530264654,-1376.283677647005
27592.09485215007,-4066.795727922768,7050.46069717427,629.5323535486556,-1910.510468036357
27592.09604072162,-4377.340331503454,6814.141475766908,1124.130489113387,-2423.095900466848
27592.09722620352,-4640.310538807016,6505.655244188124,1605.442918122363,-2908.457605958407
27592.09840828407,-4852.942435179762,6128.563890152513,2068.228944672777,-3361.329853857889
27592.09958671211,-5013.056775371876,5687.175928892287,2507.491708079219,-3776.848041148758
27592.10076128022,-5119.07232580091,5186.490298107253,2918.525943714865,-4150.592794359909
27592.10193180697,-5170.015991407078,4632.139175053775,3296.962606298589,-4478.630382175543
27592.10309814557,-5165.529798123393,4030.314957276166,3638.819005350046,-4757.556559014697
27592.10426019343,-5105.868025280325,3387.688632026955,3940.542549636889,-4984.531759890688
27592.10541790362,-4991.884152886194,2711.320699706082,4199.047042188661,-5157.306655601548
27592.10657124675,-4825.016101121853,2008.598744963659,4411.731647115874,-5274.232881370538
27592.10772025077,-4607.258940566669,1287.12864499418,4576.512142530192,-5334.279499723202
27592.10886498923,-4341.134134334047,554.6541458286804,4691.831821322286,-5337.03153947499
27592.11000554722,-4029.66327037238,-181.0068391426773,4756.667936623271,-5282.686398915313
27592.11114207068,-3676.317412838326,-912.0780873202052,4770.540098234146,-5172.043399394489
27592.11227471337,-3284.988394390889,-1630.873324857214,4733.505008868035,-5006.489669309882
27592.11340369787,-2859.922604490776,-2329.914170714157,4646.1481162573,-4787.970507286246
27592.11452925105,-2405.693408023955,-3001.964132561054,4509.571433205333,-4518.969903064639
27592.11565164738,-1927.134505248714,-3640.126307906718,4325.373028954168,-4202.470692892378
27592.11677119606,-1429.291224206652,-4237.899609261049,4095.623296455759,-3841.918222655601
27592.11788820636,-917.3829623546891,-4789.220840492181,3822.845927691569,-3441.191688865962
27592.11900304595,-396.7234274140541,-5288.549472801626,3509.974817145241,-3004.541106908865
27592.12011610387,127.3165268242288,-5730.894143065449,3160.326508833517,-2536.551717575926
27592.12122777197,649.3522618961439,-6111.848560379369,2777.570918636362,-2042.104805356661
27592.12233847583,1164.05140223707,-6427.640086963254,2365.683184663204,-1526.315163568218
27592.12344866831,1666.180395584169,-6675.153362170844,1928.903610734094,-994.4819117732932
27592.12455879115,2150.635111969473,-6851.944828969441,1471.710783754105,-452.0556155940758
27592.12566931447,2612.504991272785,-6956.269996369958,998.7633145665133,95.43194279035833
27592.12678072187,3047.109286143182,-6987.088759984859,514.8611259240483,642.4123233209962
27592.12789347125,3450.023511892182,-6944.071442308106,24.91845942198808,1183.312004455278
27592.12900803157,3817.134221974417,-6827.603316635862,-466.0966917811692,1712.621283624737
27592.13012485241,4144.665140735652,-6638.781570014169,-953.1944517195392,2224.929746255847
27592.13124436867,4429.214747193317,-6379.408190832502,-1431.410503025801,2714.978456993369
27592.13236699432,4667.787409976972,-6051.977962697679,-1895.848910740188,3177.706128559757
27592.13349309868,4857.819878453039,-5659.66874451191,-2341.718267134784,3608.288210840846
27592.1346230274,4997.214968447936,-5206.313548824563,-2764.386652375747,4002.193859043595
27592.13575706481,5084.362410117142,-4696.386915504226,-3159.413524595202,4355.219565289222
27592.13689545722,5118.166305026471,-4134.96335064125,-3522.605371026947,4663.544496073852
27592.13803840376,5098.062734497375,-3527.680146253753,-3850.057464976756,4923.771023816218
27592.13918605513,5024.034226647051,-2880.690929827422,-4138.197353755918,5132.965554480512
27592.14033848805,4896.622499908839,-2200.627347674962,-4383.821665301063,5288.693280237697
27592.1414957372,4716.932210283478,-1494.52149341358,-4584.145203243103,5389.059783611936
27592.14265777823,4486.630877788988,-769.7487420409177,-4736.833855797744,5432.738063966965
27592.14382450904,4207.947435930457,-33.9673505081571,-4840.037789417298,5418.995288119056
27592.14499581188,3883.644519851979,704.998878261315,-4892.427216186555,5347.712380791195
27592.14617146646,3517.01958243128,1439.189164622455,-4893.210186518422,5219.399048304001
27592.14735124066,3111.853321995351,2160.649954168472,-4842.156347249238,5035.195111416221
27592.14853483169,2672.392118576666,2861.487981815213,-4739.607335889099,4796.872854737188
27592.14972190519,2203.294287408217,3533.985903705953,-4586.481550003688,4506.822023053613
27592.15091207218,1709.591064596698,4170.680631621683,-4384.274392783562,4168.036271671919
27592.15210491329,1196.623880368165,4764.468438787452,-4135.046616100828,3784.081522610639
27592.15330000105,669.9751501784569,5308.702271416432,-3841.400687583645,3359.052228512267
27592.15449686971,135.4179908526654,5797.259014138815,-3506.461658903896,2897.537938110605
27592.15569501446,-401.1495497688143,6224.62058665047,-3133.848151336266,2404.576313569841
27592.15689395414,-933.8020207584683,6585.968019726592,-2727.614179769261,1885.571140267479
27592.15809319715,-1456.641764628371,6877.226684941946,-2292.211636199778,1346.242072759996
27592.1592922418,-1963.869739691176,7095.120132792662,-1832.439707727134,792.5581945828048
27592.16049059057,-2449.861842058527,7237.216565921994,-1353.383690478019,230.6609699847559
27592.16168777075,-2909.244880148886,7301.960630451213,-860.3457203654953,-333.2192894442082
27592.1628833551,-3336.966692860897,7288.686922559151,-358.7716967878481,-892.8480064149719
27592.16407689865,-3728.3319851039,7197.624000884097,145.7876974341326,-1442.031048389608
27592.16526800226,-4079.080676367377,7029.890517917344,647.7696266077166,-1974.718163513744
27592.16645630087,-4385.430448311492,6787.474045084727,1141.660401990247,-2485.068250022644
27592.16764146331,-4644.117607249698,6473.200823488829,1622.060088432988,-2967.516720509695
27592.16882321362,-4852.434543690185,6090.688374829807,2083.753098196251,-3416.84652629051
27592.17000128347,-5008.246877307524,5644.310073202336,2521.748420579451,-3828.227277079232
27592.17117547031,-5110.022751144122,5139.118610404414,2931.357654739155,-4197.289400128295
27592.17234558549,-5156.836956715624,4580.799510274921,3308.226615986931,-4520.151605112724
27592.17351150217,-5148.378921922906,3975.578870238538,3648.397876363038,-4793.474846004629
27592.17467314164,-5084.944616277166,3330.149304729807,3948.344220696196,-5014.486903218261
27592.17583044539,-4967.426966009341,2651.604600770318,4204.995353352007,-5181.000932233068
27592.17698340231,-4797.297894482336,1947.34162668076,4415.773878065754,-5291.438533937561
