DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
27592.00004669423,5216.805821720925,-2060.342751830291,-4832.883563309741,4949.568083022094
27592.00074113868,5120.02513091841,-1637.775579064813,-4964.021246094679,4993.140391232808
27592.00143558312,5003.834613238323,-1209.017878776505,-5076.341506215655,5017.74047312492
27592.00213002757,4868.762039252912,-775.7161999738892,-5169.506944933442,5023.361286611039
27592.00282447201,4715.399822332421,-339.5187659045228,-5243.253669532549,5010.065825805036
27592.00351891646,4544.401737512061,97.930347708108,-5297.390856175045,4977.985603151121
27592.0042133609,4356.479562191338,534.9967938087709,-5331.80008474764,4927.318960219492
27592.00490780535,4152.399659857423,970.0612909594317,-5346.434468055004,4858.329229079583
27592.00560224979,3932.979525378131,1401.524715814321,-5341.317596559971,4771.342764444164
27592.00629669423,3699.084307788666,1827.812953696609,-5316.542318490822,4666.746864925008
27592.00699113868,3451.623323945519,2247.381512259726,-5272.26937357168,4544.987599803587
27592.00768558312,3191.546573979125,2658.719905159083,-5208.725896939197,4406.567555743186
27592.00838002757,2919.841267176084,3060.355814179336,-5126.203808031493,4252.043515892231
27592.00907447201,2637.528364787056,3450.859039379508,-5025.058097407402,4082.024081887824
27592.00976891645,2345.65914430727,3828.845247529649,-4905.705022626882,3897.167247393152
27592.0104633609,2045.311788026662,4192.979529484499,-4768.620222514233,3698.177930018606
27592.01115780534,1737.587997105004,4541.979777178224,-4614.336757370634,3485.805466804173
27592.01185224979,1423.609631098692,4874.619890663256,-4443.443081029596,3260.841076897084
27592.01254669423,1104.515371751104,5189.732825109207,-4256.580949059139,3024.115293655921
27592.01324113868,781.457408955528,5486.213486922861,-4054.443265951439,2776.49536716023
27592.01393558312,455.5981461040722,5763.02148720629,-3837.771872798362,2518.882637008634
27592.01463002757,128.1069215410439,6019.18375966684,-3607.355275730631,2252.209874352568
27592.01532447201,-199.8432574631465,6253.797048827742,-3364.026314348696,1977.438591338128
27592.01601891646,-527.0789719205742,6466.030273039088,-3108.659768435449,1695.556315514747
27592.0167133609,-852.4296431657211,6655.126765330657,-2842.169900481771,1407.573826314399
27592.01740780534,-1174.730783158521,6820.406393637018,-2565.507930937961,1114.522350405978
27592.01810224979,-1492.827246113045,6961.267560376542,-2279.659442626013,817.4507125821456
27592.01879669423,-1805.576484003452,7077.189079785117,-1985.641710441566,517.422438836059
27592.01949113868,-2111.851807856842,7167.731929828387,-1684.500952308566,215.512808427914
27592.02018558312,-2410.545655979734,7232.540873956753,-1377.309497314479,-87.19414797889294
27592.02088002756,-2700.572869391137,7271.345946425826,-1065.162867105951,-389.608706620143
27592.02157447201,-2980.873973760098,7283.963793425094,-749.1767668600517,-690.63856734101
27592.02226891645,-3250.418466078823,7270.298860820571,-430.4839825846644,-989.1920300227625
27592.0229633609,-3508.208103153072,7230.344417966482,-110.2311820314708,-1284.181231257425
27592.02365780534,-3753.280187768804,7164.183405771811,210.424382817672,-1574.525440913326
27592.02435224979,-3984.710847107301,7071.989096039302,530.3182729091263,-1859.154417239571
27592.02504669423,-4201.618296639621,6954.025548044327,848.2823591966371,-2137.011818061911
27592.02574113868,-4403.166081345401,6810.647847398616,1163.14841886485,-2407.05866443163
27592.02643558312,-4588.566284681167,6642.302111468987,1473.751828706756,-2668.276851809273
27592.02713002757,-4757.082694281148,6449.525245005623,1778.935352379102,-2919.6727025032
27592.02782447201,-4908.033911921774,6232.944429199668,2077.553016821563,-3160.280551646775
27592.02851891645,-5040.796393833756,5993.276327152785,2368.4740715955,-3389.166357496795
27592.0292133609,-5154.807406018749,5731.325988715417,2650.587023276884,-3605.431325279993
27592.02990780534,-5249.567877838727,5447.985437865063,2922.80373530382,-3808.215532216745
27592.03060224979,-5324.645135815319,5144.231926264809,3184.063581876632,-3996.701539726068
27592.03129669423,-5379.675498325188,4821.125837378269,3433.337642651102,-4170.1179771807
27592.03199113868,-5414.366710730439,4479.808226561635,3669.632923028776,-4327.74307995514
27592.03268558312,-5428.500199465913,4121.497983892247,3891.996582917383,-4468.90816291574
27592.03338002757,-5421.933122746266,3747.488608167102,4099.520154875557,-4593.00100896496
27592.03407447201,-5394.600194883843,3359.144582524099,4291.343730616161,-4699.469150800401
27592.03476891646,-5346.515260753945,2957.897344478668,4466.660092981085,-4787.823022712588
27592.0354633609,-5277.772596736861,2545.240845889776,4624.71876868624,-4857.638958056703
27592.03615780535,-5188.547914535213,2122.726701401283,4764.829975476673,-4908.562007025231
27592.03685224979,-5079.099044638172,1691.958927292615,4886.368435807957,-4940.308548555322
27592.03754669423,-4949.766276905131,1254.588276365974,4988.777027854827,-4952.668669659663
27592.03824113868,-4800.972336791318,812.3061784691238,5071.570243571039,-4945.50828520514
27592.03893558312,-4633.221977152224,366.838300492647,5134.33742271443,-4918.770971209257
27592.03963002757,-4447.10116735353,-80.06225587540916,5176.745731258768,-4872.479485106609
27592.04032447201,-4243.275863582777,-526.6220957598248,5198.542852465054,-4806.73694717947
27592.04101891645,-4022.490346807425,-971.0549844647032,5199.559359106764,-4721.72765846552
27592.0417133609,-3785.565117743899,-1411.56958024072,5179.710735969113,-4617.717531965474
27592.04240780534,-3533.394341480998,-1846.377409336018,5138.999022785719,-4495.054115882291
27592.04310224979,-3266.942838021012,-2273.701041541266,5077.514049260919,-4354.166189935611
27592.04379669423,-2987.242618939957,-2691.782419921906,4995.434235757077,-4195.56291850972
27592.04449113868,-2695.388974597719,-3098.891294110289,4893.026935622815,-4019.832547505902
27592.04518558312,-2392.536120817281,-3493.333702517166,4770.648297996571,-3827.640635271826
27592.04588002757,-2079.892418662458,-3873.460445169842,4628.742633245732,-3619.727811858241
27592.04657447201,-1758.715185832093,-4237.675485675833,4467.84126699679,-3396.907065087818
27592.04726891646,-1430.30512320372,-4584.444218155224,4288.560872951105,-3160.060556487088
27592.0479633609,-1096.000385140271,-4912.301532940988,4091.601279369955,-2910.135974995495
27592.04865780534,-757.170327246303,-5219.859613539794,3877.742749208579,-2648.142441480056
27592.04935224979,-415.2089702397092,-5505.815396874307,3647.842739334943,-2375.145982390992
27592.05004669423,-71.52822339122838,-5768.957629270284,3402.832150051229,-2092.264596318274
27592.05074113868,272.4490845358628,-6008.173452123318,3143.711082148081,-1800.662942659523
27592.05143558312,615.2963148637242,-6222.454453758912,2871.544124857005,-1501.546686977363
27592.05213002756,955.5902136258358,-6410.902127717203,2587.455204251325,-1196.156542784486
27592.05282447201,1291.918132979161,-6572.732682621048,2292.622027674131,-885.7620543098246
27592.05351891645,1622.885219173394,-6707.281154870829,1988.270165557631,-571.6551691246586
27592.0542133609,1947.12150582026,-6814.00478262664,1675.666817336255,-255.1436531971826
27592.05490780534,2263.288851211589,-6892.485607780438,1356.114312879342,62.45559614107606
27592.05560224979,2570.087659538485,-6942.432281728102,1030.943404850933,379.8232818166312
27592.05629669423,2866.263328093218,-6963.681060543056,701.5064104727585,695.6444247036868
27592.05699113868,3150.612365877394,-6956.195985393078,369.1702631814327,1008.615008908894
27592.05768558312,3421.988133437807,-6920.068254454219,35.30953563498645,1317.448497320775
27592.05838002757,3679.306159106288,-6855.514802904232,-298.7005047464602,1620.882162322423
27592.05907447201,3921.548992993716,-6762.876117516534,-631.4907478923203,1917.68317982961
27592.05976891645,4147.77056691095,-6642.613321670732,-961.7049435520133,2206.654439022816
27592.0604633609,4357.100035666358,-6495.304574992926,-1288.006200397196,2486.640025164194
27592.06115780534,4548.745082712879,-6321.640839133639,-1609.083232491358,2756.530338573918
27592.06185224979,4721.994680675642,-6122.421067223604,-1923.656309104307,3015.266819009232
27592.06254669423,4876.221304679909,-5898.54687920235,-2230.482869699096,3261.846251158041
27592.06324113868,5010.882603430702,-5651.016788450948,-2528.362772143219,3495.32463353949
27592.06393558312,5125.522539506281,-5380.92004696074,-2816.14314868294,3714.820599617014
27592.06463002757,5219.772016183751,-5089.430176702072,-3092.722850709129,3919.518386209924
27592.06532447201,5293.349013216166,-4777.79825400471,-3357.056469715094,4108.670350194488
27592.06601891646,5346.058258259883,-4447.346011745819,-3608.157927946804,4281.599039896619
27592.0667133609,5377.790464076208,-4099.458821139772,-3845.103637909039,4437.698832405332
27592.06740780535,5388.521164200336,-3735.578611069408,-4067.035235081533,4576.437152217457
27592.06810224979,5378.309181508476,-3357.196778405281,-4273.161892779075,4697.355290124388
27592.06879669423,5347.294765068191,-2965.847137772737,-4462.762232062579,4800.06884406159
27592.06949113868,5295.697430892166,-2563.098953932051,-4635.185842923981,4884.267805772492
27592.07018558312,5223.81354180853,-2150.550094479251,-4789.854435638611,4949.716318620185
27592.07088002757,5132.013660696137,-1729.820335105464,-4926.262643213531,4996.252132756752
27592.07157447201,5020.739709898236,-1302.544844263746,-5043.97849730627,5023.785784184953
27592.07226891645,4890.501967810104,-870.3678689304063,-5142.643600863555,5032.299524080795
27592.0729633609,4741.875931519706,-434.9366382343323,-5221.973021115194,5021.846024152234
27592.07365780534,4575.49907204431,2.104502817614275,-5281.754926480953,4992.546882853616
27592.07435224979,4392.067506222452,439.1197214582392,-5321.849990484917,4944.590956020843
27592.07504669423,4192.332606754861,874.4870828175601,-5342.190584971504,4878.23253399937
