DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
26861.00003512016,4130.387316102661,-1888.98175919233,-3676.75877620837,5917.194674422451
26861.0007295646,3985.568645458532,-1459.506223061014,-3752.655466106708,6003.564813145153
26861.00182765683,3726.031976311219,-769.8141612351833,-3843.593386816078,6093.576590880437
26861.00298683697,3414.128058496247,-34.08641848221441,-3900.398532016335,6126.333733972647
26861.00415721201,3063.226762541614,709.0311712561627,-3916.629297735988,6094.669673369499
26861.00533286947,2678.307644005294,1447.932734405982,-3891.456869016987,5998.170262099429
26861.00651290439,2263.564577517113,2174.176408373369,-3824.933874362008,5837.566600883366
26861.00769693555,1823.404600450292,2879.756095095165,-3717.602765069229,5614.328820339712
26861.00888458534,1362.543096442088,3556.864842879058,-3570.47169124241,5330.646333928059
26861.01007545879,885.9569614357981,4197.973857201983,-3385.005336981362,4989.407295478662
26861.01126909952,398.8462982181255,4795.900682498288,-3163.119445851305,4594.184659438971
26861.0124650429,-93.44618584307538,5343.928151436216,-2907.155439046655,4149.186965063348
26861.01366279401,-585.4890099653646,5835.877180881471,-2619.859743112269,3659.220049595818
26861.01486184887,-1071.835133032185,6266.195098359835,-2304.349638560297,3129.626320021988
26861.01606169279,-1547.08676937728,6630.025041331118,-1964.078079498037,2566.223832888398
26861.01726181587,-2005.966753437694,6923.272130911937,-1602.789183109629,1975.230915265886
26861.0184617172,-2443.383596954027,7142.653992901733,-1224.472134231236,1363.189476910913
26861.01966090621,-2854.492990653142,7285.740063286247,-833.3128469603687,736.8856408630631
26861.02085891782,-3234.760439814784,7350.980758532489,-433.6386082785152,103.2601045293045
26861.02205530303,-3580.010925963173,7337.721444998614,-29.86903719977994,-530.670398991788
26861.02324964966,-3886.482936330963,7246.206224851453,373.5437171022928,-1157.907778866796
26861.02444158548,-4150.869548160982,7077.566121902459,772.168723687369,-1771.55653116532
26861.02563077367,-4370.351509541507,6833.797659714386,1161.64625774699,-2364.901018180207
26861.02681687204,-4542.620436463273,6517.744193730815,1537.724895254118,-2931.462688418687
26861.02799964333,-4665.9184039728,6133.028556782186,1896.344904798206,-3465.126270182007
26861.02917883657,-4739.034009112987,5684.032610947938,2233.645216242343,-3960.149458434318
26861.03035425054,-4761.321147748673,5175.824780561768,2546.025822492988,-4411.255670909562
26861.03152573468,-4732.697845840071,4614.091552856802,2830.185058031255,-4813.687582906687
26861.03269316527,-4653.640371808539,4005.076830033993,3083.147038934663,-5163.24578912831
26861.03385646141,-4525.171864791381,3355.499016220046,3302.295382191222,-5456.335554998257
26861.03501557511,-4348.845259700103,2672.476138734616,3485.395853666359,-5689.99676256083
26861.03617047479,-4126.724285419975,1963.453694369915,3630.615274664625,-5861.928161229043
26861.03732119687,-3861.345753336526,1236.088157724009,3736.543986098927,-5970.51364760567
26861.03846778483,-3555.697402105328,498.1978141938489,3802.198178499912,-6014.822199090155
26861.03961031381,-3213.177307801252,-242.3379478791935,3827.030159340134,-5994.616149173516
26861.0407489145,-2837.544246065656,-977.6798808123135,3810.928545224128,-5910.343516986366
26861.04188371867,-2432.890011926311,-1700.077022187659,3754.213692722013,-5763.127053907819
26861.04301489416,-2003.582335271174,-2401.970567104034,3657.630838510919,-5554.74517957826
26861.04414264917,-1554.212877774818,-3076.073642739236,3522.335475711677,-5287.60257857872
26861.04526720394,-1089.557414481746,-3715.427168848973,3349.879221635942,-4964.703447418585
26861.04638881419,-614.5151267901916,-4313.482607695774,3142.186890308712,-4589.608692494146
26861.04750777733,-134.0534052427565,-4864.166112640421,2901.529391980348,-4166.388006682499
26861.04862440598,346.8324002369272,-5361.920041177422,2630.501014581698,-3699.580626895145
26861.04973905082,823.1791631342473,-5801.763277056273,2331.984442962208,-3194.135235891887
26861.05085207664,1290.094694671368,-6179.322761250556,2009.1241694207,-2655.365360283676
26861.05196390152,1742.820993006354,-6490.881430398237,1665.28100125221,-2088.873656011025
26861.05307495315,2176.759740544303,-6733.388739027614,1304.008782106619,-1500.514161311953
26861.0541856754,2587.517088542997,-6904.485796647559,929.0172218556621,-896.3314816028765
26861.055296544,2970.947931573529,-7002.521335212702,544.1301323652433,-282.493466622524
26861.056408057,3323.186534892462,-7026.554471257528,153.251872578393,334.7621302930404
26861.05752069805,3640.667346225082,-6976.356361603357,-239.6555620628643,949.1641546948547
26861.05863494629,3920.160507272314,-6852.413173588953,-630.6115873056085,1554.470070161745
26861.05975129984,4158.804928984241,-6655.915750974986,-1015.660798284952,2144.534328573276
26861.06087023421,4354.122142915179,-6388.751699968046,-1390.893298040725,2713.340041188365
26861.06199218255,4504.038676350044,-6053.499927104465,-1752.473428949146,3255.044080586154
26861.06311756141,4606.913347632013,-5653.40794758339,-2096.683890574105,3764.044992920311
26861.06424675049,4661.553172606041,-5192.374029530885,-2419.954049648279,4235.026417672256
26861.06538008107,4667.230450248229,-4674.925178023382,-2718.891956671394,4663.005997208392
26861.0665178435,4623.69764981062,-4106.181578480597,-2990.32149244703,5043.391240097909
26861.06766025295,4531.200295056416,-3491.835376347153,-3231.309115871006,5372.020185989215
26861.06880749014,4390.483024837354,-2838.085392273803,-3439.207682623542,5645.225293964488
26861.06995966452,4202.79468825684,-2151.604213661441,-3611.680863012472,5859.869439225019
26861.07111682444,3969.886607492493,-1439.474714780691,-3746.736997261033,6013.394218057068
26861.07227894459,3694.008488978925,-709.1323014708132,-3842.757021579521,6103.859362456941
26861.07344595399,3377.889218456646,31.72496535119899,-3898.523199501452,6129.980719232278
26861.07461769672,3024.727395151773,775.1903772220214,-3913.238770859373,6091.156871547801
26861.07579397078,2638.155835674809,1513.257398491249,-3886.548701573503,5987.492889291705
26861.07697450874,2222.214630631886,2237.896411857125,-3818.552134447923,5819.813632765121
26861.07815898936,1781.309175780578,2941.154470654393,-3709.810601111432,5589.668413401107
26861.07934705074,1320.160306575098,3615.257201369829,-3561.348392618972,5299.323069456434
26861.08053827755,843.7586677873942,4252.69585699825,-3374.649409267801,4951.747687417586
26861.08173224345,357.2925475659088,4846.342933308473,-3151.639696425074,4550.579328834137
26861.08292845178,-133.8876078126856,5389.511579365904,-2894.680336138906,4100.105736455149
26861.08412641305,-624.3632200034593,5876.079979294547,-2606.529853896228,3605.195514760945
26861.08532562402,-1108.703808264356,6300.55655171535,-2290.316576956954,3071.248908545685
26861.08652556598,-1581.531566584627,6658.149708774064,-1949.503990179446,2504.137131182146
26861.08772572571,-2037.594848098396,6944.835779048651,-1587.844828904884,1910.124066121645
26861.08892561122,-2471.837053721,7157.410255089198,-1209.331023171363,1295.782804547524
26861.09012472975,-2879.448764872482,7293.52043349286,-818.1523643668896,667.9274722394098
26861.09132260185,-3255.930839876743,7351.697125449733,-418.6420541586023,33.52444790072559
26861.09251880077,-3597.158778957301,7331.369365539165,-15.21117796259176,-600.412448671095
26861.09371290061,-3899.413346882707,7232.863514066969,387.6868970373348,-1226.878306886828
26861.09490454451,-4159.440093825268,7057.390512253855,785.6320226668556,-1838.99534142374
26861.09609338401,-4374.467589349964,6807.027845320739,1174.268348174396,-2430.060666852831
26861.09727911376,-4542.244556989729,6484.685765256371,1549.366019458306,-2993.64098089543
26861.09846147707,-4661.060223884529,6094.061825291346,1906.870220130321,-3523.646301454392
26861.0996402426,-4729.755369104018,5639.59714889947,2242.938555566381,-4014.385474876882
26861.10081520049,-4747.732461243254,5126.423437170754,2553.982639382893,-4460.627507830895
26861.1019862194,-4714.957185843739,4560.272468665552,2836.721024156399,-4857.677552113161
26861.1031531661,-4631.951322113734,3947.439678384169,3088.191602716137,-5201.39363152445
