DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
26861.00003512016,4508.538504394938,-1917.736276295767,-4094.651303663311,5626.377011540164
26861.0007295646,4380.441346175201,-1489.536254390571,-4189.027070633235,5699.883797292372
26861.00182766272,4144.262725673464,-801.6201896411089,-4305.782243087964,5771.909491006657
26861.00298668587,3852.780056791639,-67.54288982476555,-4385.104707413381,5788.949329730801
26861.00415684556,3517.886606618717,674.2263591912149,-4418.956983727729,5744.97742414565
26861.00533224713,3144.245843040105,1412.118720678179,-4406.168102184959,5639.826426975214
26861.00651200028,2735.893416595148,2137.715846498437,-4346.622149321566,5474.348212365938
26861.00769571693,2297.14792899652,2843.017462072073,-4240.763172197884,5250.086405108841
26861.00888305167,1832.677208205712,3520.241077518423,-4089.558359413944,4969.251677703448
26861.01007358218,1347.489675905028,4161.843287665117,-3894.500182213977,4634.721999179511
26861.01126688495,846.8501888485279,4760.655659225939,-3657.586474674831,4249.999985117758
26861.01246247187,336.2460519840905,5309.940759939129,-3381.313075919848,3819.196363670132
26861.01365988063,-178.7144597226193,5803.520923621303,-3068.630036914348,3346.9565543537
26861.01485858894,-692.3319227065502,6235.817077583069,-2722.929359229702,2838.439641570152
26861.01605807918,-1198.911592146313,6601.949960823758,-2347.99216771763,2299.236245787991
26861.01725784161,-1692.833395847067,6897.799924701786,-1947.942180883515,1735.299647185816
26861.01845739826,-2168.628723755508,7120.059874098601,-1527.187515402444,1152.862296739792
26861.01965623128,-2621.017438989795,7266.2610033908,-1090.392804991349,558.3956117892362
26861.02085389327,-3045.014051930911,7334.820784907671,-642.3844847324551,-41.52119548520159
26861.02204993521,-3435.957610619886,7325.045364795221,-188.1179154476043,-640.2451457262769
26861.02324393884,-3789.577842962238,7237.138365264074,267.3934926295443,-1231.164487255157
26861.02443551454,-4102.042325754787,7072.192450917122,719.1371062955985,-1807.775705424982
26861.02562432387,-4370.003494413131,6832.165597015181,1162.168350548431,-2363.769849803528
26861.02681004569,-4590.624766303637,6519.855652583608,1591.654983591213,-2893.088271476282
26861.02799240295,-4761.61568216091,6138.856536228509,2002.942095272402,-3390.003498088999
26861.02917117898,-4881.252852320973,5693.50044878439,2391.608711044416,-3849.187314130462
26861.03034615608,-4948.38670882747,5188.822838328569,2753.495271145977,-4265.743128373995
26861.03151716838,-4962.456525466454,4630.481402512996,3084.766547981615,-4635.279544819768
26861.03268409908,-4923.487439387404,4024.683400983726,3381.949224066438,-4953.951451411055
26861.03384685957,-4832.083145095725,3378.119737958576,3641.96069045302,-5218.490314538212
26861.03500541969,-4689.410206458345,2697.868591085102,3862.145421188245,-5426.240738761118
26861.03615973789,-4497.187010551304,1991.353495812018,4040.285948772334,-5575.170096848012
26861.03730984321,-4257.64978289173,1266.210979789609,4174.638570153405,-5663.89974642093
