DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28666.00005826831,7217.504851434363,-1079.5705700411,-7136.605564794496,58.209937687015
28666.00075271275,7209.162078503629,-749.8920969495796,-7181.076775396764,353.16678388754
28666.00183385743,7141.706721527697,-231.4312428748913,-7195.997902493084,809.279250837492
28666.00298810186,6997.613315642508,324.2981744480848,-7139.30372202026,1287.936468813941
28666.00415428902,6778.464935746051,882.3400879521909,-7006.985809256994,1757.951090262924
28666.00532571533,6486.716082075164,1433.546169343048,-6800.060376251694,2211.443341141667
28666.00650147297,6125.273453470221,1971.603739822125,-6520.456434831228,2643.145912099169
28666.00768130115,5697.732219373142,2490.625172960909,-6170.868100635835,3048.272431127484
28666.00886492077,5208.443765275035,2984.895135950522,-5754.782633383125,3422.300303035217
28666.0100520296,4662.473406588014,3448.933927654703,-5276.44781197788,3761.021783526054
28666.01124225114,4065.575851348024,3877.543238574403,-4740.854465474245,4060.581790206119
28666.01243518608,3424.116733178879,4265.891842709621,-4153.670813123095,4317.543852712893
28666.01363037823,2745.023998090701,4609.565486953214,-3521.201291139465,4528.928153547276
28666.01482731964,2035.713342452017,4904.6302477109,-2850.321271606403,4692.257931614465
28666.0160254886,1303.983459120625,5147.697170250173,-2148.381418958494,4805.602680357209
28666.01722434033,557.9303034045021,5335.965520251762,-1423.12787463933,4867.604826553728
28666.01842330933,-194.1501911816812,5467.263414961741,-682.6103271520515,4877.502366465993
28666.01962180037,-943.8569099111816,5540.080761929559,64.90863322022471,4835.144914560427
28666.02081923556,-1682.816817204274,5553.59684138002,811.0839713935138,4740.999372227872
28666.02201508149,-2402.804878786176,5507.687208489623,1547.608483232538,4596.138884526135
28666.02320878574,-3095.806584695819,5402.924386771214,2266.275943180205,4402.234437527815
28666.02439983878,-3754.154118468877,5240.568769142593,2959.120411997038,4161.52702210003
28666.02558779278,-4370.626853872394,5022.542168783461,3618.522214853581,3876.789294503915
28666.02677220798,-4938.506947338564,4751.406778489976,4237.267578751854,3551.298530012436
28666.0279527099,-5451.686417470989,4430.31856321121,4808.664532154915,3188.779151156057
28666.02912899714,-5904.732797763577,4062.975525756101,5326.617683826996,2793.346583216219
28666.0303008173,-6292.931845838628,3653.570726599581,5785.67900809584,2369.458664998928
28666.03146798966,-6612.338811831011,3206.727402984977,6181.110187423325,1921.849719121946
28666.03263038586,-6859.803414098918,2727.443874834055,6508.916759444969,1455.477192676595
28666.03378793966,-7032.994305316169,2221.026090582033,6765.883745355622,975.4572539543105
28666.03494066572,-7130.409563768896,1693.01265927697,6949.598343467038,486.9956494725687
28666.0360886385,-7151.369639496595,1149.11688870048,7058.452121864948,-4.663625439809847
28666.03723196724,-7096.008821256,595.173750586593,7091.640924502792,-494.2850140193103
28666.03837084988,-6965.255666747945,37.04979676043592,7049.159575065793,-976.7197663326591
28666.03950550235,-6760.809996551809,-519.3848014918013,6931.783096396422,-1446.927992017661
28666.04063618529,-6485.112678298458,-1068.328904136852,6741.0478330766,-1900.039806234395
28666.04176321117,-6141.304402300594,-1604.110957940234,6479.219481004269,-2331.403998407191
28666.04288690255,-5733.194850563541,-2121.22317234908,6149.267394246557,-2736.614498290321
28666.04400761864,-5265.20991362842,-2614.385808092333,5754.821516546562,-3111.560689695781
28666.04512574516,-4742.343072604332,-3078.59000592945,5300.130075041433,-3452.459031466447
28666.04624164494,-4170.126644458011,-3509.123311840068,4790.034602698971,-3755.872010487272
28666.0473557189,-3554.547723260048,-3901.638129664625,4229.895874906114,-4018.757588267683
28666.04846835844,-2902.011276736564,-4252.17185729528,3625.559814666909,-4238.482085718875
28666.04957996299,-2219.269001334598,-4557.189738652267,2983.292383748635,-4412.848464617766
28666.05069089954,-1513.379403010969,-4813.607300641735,2309.742807525685,-4540.11080048763
28666.05180154404,-791.6152564650843,-5018.832658759829,1611.856712104685,-4618.998898144631
28666.05291227905,-61.39378646013276,-5170.787960583531,896.8089098109406,-4648.727444885976
28666.0540234603,669.7729498921885,-5267.924297977808,171.9555909502735,-4629.002219840708
28666.05513544494,1394.369058397903,-5309.242242360817,-555.2544836907616,-4560.025271147765
28666.05624856653,2104.931778696095,-5294.30074432361,-1277.336207850256,-4442.494578954896
28666.05736317378,2794.14912133187,-5223.22246790004,-1986.86611775102,-4277.594521813793
28666.05847958101,3454.900053247355,-5096.694200968735,-2676.522987591018,-4066.990297360885
28666.05959810679,4080.348780409013,-4915.959961793367,-3339.184395732268,-3812.807816531419
