DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28666.00005826831,4508.538504394941,-378.6773057638484,-4505.254684759039,5626.658308761631
28666.00075271275,4380.441353712695,55.67442953516502,-4445.255636435069,5700.170580805308
28666.00178739543,4158.987731648426,701.912872250133,-4324.744304979331,5769.52210523038
28666.00293857339,3871.892810002525,1413.747002625993,-4148.312263173482,5789.944837029294
28666.00410761869,3539.714473422006,2121.706205773033,-3925.62606069818,5749.765926665045
28666.00528270281,3168.359800422657,2810.807721730204,-3660.261069251862,5648.37494642896
28666.00646228125,2761.999531830505,3472.692617410322,-3355.097172810512,5486.565469788356
28666.00764588528,2324.950028028446,4099.938575458149,-3013.311587234514,5265.838001278502
28666.00883313835,1861.869412876347,4685.536081071403,-2638.49341369484,4988.365387579575
28666.01002362902,1377.745291116503,5222.899514192131,-2234.633019864546,4656.98302944665
28666.01121693278,877.8302420981126,5705.959091972012,-1806.071534212854,4275.155946672939
28666.01241255866,367.6044638994439,6129.217101465907,-1357.472102640118,3846.961324189815
28666.01361001668,-147.315767751383,6487.848690769916,-893.7434490939313,3377.025340336893
28666.01480880313,-661.2387963453355,6777.756821878693,-419.9873102602909,2870.474678569738
28666.01600838648,-1168.45984010443,6995.624279371657,58.55617538261475,2332.8843658409
28666.01720825386,-1663.349852553892,7138.967833621501,536.5896644648419,1770.192270522998
28666.01840790895,-2140.422021878797,7206.164449130951,1008.821654007081,1188.62715545966
28666.01960685653,-2594.391207865576,7196.468607332998,1470.023802817204,594.6409667633843
28666.02080462213,-3020.244917261689,7110.021665119688,1915.101215468804,-5.178250709174335
28666.02200076117,-3413.305006262015,6947.845071417378,2339.155933881297,-604.1903291369536
28666.02319485085,-3769.278491444367,6711.823845155266,2737.540969811182,-1195.778212385119
28666.02438650839,-4084.31133938623,6404.675506764468,3105.919696590251,-1773.43507864311
28666.02557539429,-4355.029619203671,6029.908273438926,3440.314178009898,-2330.840997720925
28666.02676118887,-4578.568929775653,5591.780304399754,3737.141462307472,-2861.923810929141
28666.02794361679,-4752.609043734281,5095.236956841675,3993.258702423345,-3360.938885382943
28666.02912244924,-4875.393935957513,4545.844302997877,4205.994087692593,-3822.531969113947
28666.0302974794,-4945.743143299705,3949.730345070764,4373.167767387371,-4241.78656221778
28666.03146855731,-4963.062254157809,3313.493367653987,4493.117190258627,-4614.288235442209
28666.03263557416,-4927.339771784415,2644.128546807016,4564.705718327404,-4936.161213930212
28666.03379842806,-4839.143272715794,1948.966351519447,4587.328636101862,-5204.097548565876
28666.03495708853,-4699.604128679346,1235.550607592144,4560.917302573106,-5415.40462309197
28666.03611153873,-4510.401561621498,511.5865600404682,4485.931367208136,-5568.013270298872
28666.03726181379,-4273.734029195595,-215.1680312453132,4363.347337655666,-5660.50075957226
28666.03840796271,-3992.295880521001,-936.9639311394399,4194.644783792184,-5692.094273804045
28666.03955007457,-3669.238563034637,-1646.160126236943,3981.78313193316,-5662.67556851499
