DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28666.00005826831,5216.805821720927,-214.2461955696722,-5249.016561586844,4949.941787927518
28666.00075271275,5120.025157452231,227.3694771358312,-5221.905801038575,4993.522846488513
28666.00178548119,4940.352731299545,882.0102029952316,-5145.06667565412,5023.240385220292
28666.00293600273,4691.857638564667,1602.366725523952,-5009.10505386732,5007.002706755938
28666.00410446914,4390.259846356005,2317.06253009772,-4818.480754544894,4937.835205361778
28666.00527891209,4040.66258417535,3010.839632069437,-4575.910508266137,4815.923117629619
28666.00645779013,3646.918540401854,3675.273770675483,-4283.941345971813,4642.365564188575
28666.0076406519,3213.157877108286,4302.916989408284,-3945.557554445586,4418.832989430035
28666.0088271057,2743.970810735134,4886.74155170113,-3564.276302658896,4147.57082392496
28666.01001677585,2244.362975013679,5420.192998311731,-3144.11100732561,3831.372920029999
28666.01120922311,1719.731458106456,5897.232104353432,-2689.553853708719,3473.571445968648
28666.01240397767,1175.793022658987,6312.431157003151,-2205.518634273816,3077.997500876187
28666.01360055252,618.5125986584308,6661.050061806061,-1697.28063204191,2648.935712471004
28666.01479844582,54.03225259646448,6939.098765465867,-1170.414794755997,2191.075025499949
28666.01599715308,-511.4074571101402,7143.392206966365,-630.725005025272,1709.449810612068
28666.01719616822,-1071.542627942975,7271.590977520552,-84.17459856720626,1209.379890608457
28666.01839496873,-1620.154644637829,7322.231839225041,463.1781465781051,696.4136812608867
28666.01959307725,-2151.173344416581,7294.749740854531,1005.280853349625,176.2354004824474
28666.02079000704,-2658.724576926039,7189.47933615233,1536.134881992891,-345.380504420546
28666.02198530814,-3137.220432355758,7007.648558800626,2049.887649232,-862.6585174173367
28666.02317856707,-3581.422796988796,6751.355518187484,2540.900626147046,-1369.890684183668
28666.02436937824,-3986.492432862399,6423.544370405661,3003.80284756623,-1861.491621332355
28666.02555737668,-4348.056183352221,6027.959537222056,3433.566263784887,-2332.077690664771
28666.02674225732,-4662.258003520975,5569.085121842207,3825.567103351264,-2776.535160581672
28666.0279237358,-4925.786188391747,5052.097924842079,4175.620953771756,-3190.061230039121
28666.02910155874,-5135.911128454273,4482.80010228126,4480.031785396389,-3568.221481921687
28666.03027552431,-5290.514463463534,3867.53656741958,4735.634730407253,-3907.003747141226
28666.0314454699,-5388.102892349075,3213.121421920487,4939.821880915817,-4202.854383157586
28666.03261126964,-5427.817876234079,2526.757402987344,5090.565061666523,-4452.712736643954
28666.03377284511,-5409.438001985241,1815.944408670663,5186.432938891073,-4654.041882511499
28666.03493015538,-5333.372584961874,1088.398137624833,5226.597638533555,-4804.847780241751
28666.03608319219,-5200.650358877273,351.9659177037358,5210.836850740738,-4903.694540940461
28666.03723199065,-5012.899792993893,-385.4672984723693,5139.529048621162,-4949.714626709759
28666.03837661289,-4772.326197737379,-1116.054486899806,5013.64249061034,-4942.610243835626
28666.03951717046,-4481.676590931962,-1832.084566872308,4834.715455443182,-4882.649819872528
28666.04065376622,-4144.218807601398,-2526.027089371175,4604.842314015467,-4770.661774055678
28666.04178656987,-3763.682055021862,-3190.657405012626,4326.633535769979,-4608.015836958619
28666.0429157772,-3344.220779295606,-3819.103244651792,4003.186642336109,-4396.602626386928
28666.04404161541,-2890.364719367602,-4404.91523023654,3638.047035123176,-4138.807228959784
28666.04516432256,-2406.976284904628,-4942.118573143899,3235.173210687688,-3837.484022888049
28666.04628416708,-1899.189628297462,-5425.280504009776,2798.8859790151,-3495.918633148283
28666.04740146382,-1372.346527793348,-5849.564415398983,2333.812314010931,-3117.782671971728
28666.04851653345,-831.9580667035895,-6210.754135448139,1844.850511207506,-2707.104153603571
28666.04962974078,-283.6296863886376,-6505.302834105875,1337.102230356795,-2268.210085968942
28666.0507414676,266.9826463296426,-6730.349315793123,815.8307867039094,-1805.689030435633
28666.05185211177,814.2275660940292,-6883.739232778342,286.4087989487637,-1324.344236029582
28666.05296211937,1352.528282166441,-6964.040390442595,-245.7501500363767,-829.1305828174809
28666.05407192025,1876.403163473185,-6970.54031244079,-775.2127022000257,-325.1337396135746
28666.05518198679,2380.544212129612,-6903.250596651031,-1296.604439940468,182.5045230574137
28666.05629278433,2859.840870103203,-6762.898253708677,-1804.635344386138,688.6122438513562
28666.05740479279,3309.435138653911,-6550.914025436752,-2294.157452031826,1188.044368049941
28666.05851848797,3724.755763345939,-6269.41754274083,-2760.201823345587,1675.720606541472
28666.05963432481,4101.553153077774,-5921.202826930508,-3198.016200384708,2146.663904888321
28666.0607527572,4435.945263278736,-5509.70905654368,-3603.11614863147,2596.054033466952
28666.06187419499,4724.440648797449,-5039.007044167468,-3971.31054329489,3019.25429823588
28666.06299903727,4963.98366303095,-4513.755407386063,-4298.754379566451,3411.868948408778
28666.06412765362,5151.979857794934,-3939.169102210456,-4581.979538374783,3769.777652494204
28666.06526034421,5286.320553437967,-3320.999471742721,-4817.922852749296,4089.16563405329
28666.06639740227,5365.419804564484,-2665.455274699614,-5003.976267132974,4366.583877256508
28666.06753903462,5388.229309828926,-1979.193918884457,-5138.003319522275,4598.966475634742
28666.06868541245,5354.265041629374,-1269.236149905907,-5218.379866399438,4783.682763413409
28666.06983664009,5263.622150979085,-542.9208011104106,-5244.016464667639,4918.56581479818
28666.07099277348,5116.985865365071,192.1755837320848,-5214.382379612627,5001.947815777258
28666.07215379619,4915.63937088122,928.2981216505809,-5129.523149325466,5032.686063189609
28666.07331964549,4661.459773435187,1657.609485777122,-4990.071989947696,5010.188601957986
28666.07449017761,4356.917416221758,2372.251904174319,-4797.25912637285,4934.432701371808
28666.07566519344,4005.057310612519,3064.45115853086,-4552.909810299841,4805.978869223911
28666.07684445258,3609.470990861126,3726.614073008849,-4259.431598244161,4625.97357534311
28666.07802764199,3174.27588839998,4351.400871472148,-3919.805188341771,4396.1515256161
28666.07921439427,2704.072848287521,4931.82765319837,-3537.558003861586,4118.825980619489
28666.08040432371,2203.885255951391,5461.371660607407,-3116.719616460614,3796.862096083378
28666.08159700631,1679.11233284741,5934.042692325625,-2661.786049587249,3433.653574434344
28666.08279197044,1135.474656073312,6344.458961080883,-2177.676934419683,3033.093121825887
28666.08398870759,578.9452979234874,6687.926305001411,-1669.678654075597,2599.529980942863
28666.0851867298,15.65307288528903,6960.516955216175,-1143.359176854858,2137.700293135376
28666.08638551913,-548.1672162664906,7159.104762182724,-604.5234426454823,1652.689593793972
28666.08758456355,-1106.266182746995,7281.41615286686,-59.12912010850667,1149.859778974984
28666.08878335689,-1652.455132414962,7326.057780625577,486.7850745874139,634.7845220577105
28666.08998139989,-2180.681107532302,7292.533873265035,1027.172490562602,113.1817399407005
28666.09117823036,-2685.112381820261,7181.249039807559,1556.06459546981,-409.1685278804107
28666.09237337797,-3160.188096938971,6993.503110495208,2067.622005797331,-926.4739820638774
28666.09356643084,-3600.710854813806,6731.464678650139,2556.232474919195,-1433.028037092589
