DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28666.00005826831,5541.531608806285,-169.0401731665072,-5585.17308353118,4569.164808458409
28666.00075271275,5459.107632575306,274.5711964287968,-5572.925110144,4595.904920397757
28666.00178548241,5298.381025688115,931.8485759390639,-5515.700533136514,4603.372845087474
28666.00293577107,5067.507733068965,1654.505942663572,-5397.958900180542,4566.470912523001
28666.00410393159,4779.87867375457,2370.951071296889,-5221.766179995296,4480.952355682674
28666.00527803752,4440.207614204574,3065.902234584926,-4989.44072816542,4347.453146325563
28666.00645653271,4052.207995423399,3730.910272983211,-4703.384458817318,4167.246701014708
28666.00763896698,3619.929775292544,4358.52179485981,-4366.499471350933,3942.102266710179
28666.00882496822,3147.923778645871,4941.719810284385,-3982.2646865139,3674.301559287853
28666.01001418412,2641.200624312265,5473.966187358101,-3554.701119570087,3366.61368489915
28666.01120614551,2105.233877777951,5949.22044431382,-3088.378135630861,3022.301791256467
28666.01240041901,1545.836523402252,6362.087838665202,-2588.312217583496,2645.051960202878
28666.01359649765,969.1430069972236,6707.845153984634,-2059.952986640726,2238.963720774439
28666.01479389316,381.4956473056342,6982.536867500232,-1509.083708303097,1808.476000314274
28666.01599210752,-210.6175894092274,7183.014114238878,-941.7646190656344,1358.323539750133
28666.01719062484,-800.636201224407,7306.976301503683,-364.2656596974947,893.4847855386765
28666.01838894055,-1382.020320367983,7353.006679091578,217.0220698871378,419.1117516531008
28666.01958656542,-1948.331190471234,7320.587945004753,795.6652123501027,-59.53385419433107
28666.02078301519,-2493.303341771952,7210.10755181788,1365.26030483896,-537.1398182760313
28666.02197783957,-3010.93254300544,7022.84901789439,1919.524158628128,-1008.41876721242
28666.02317062614,-3495.54635926149,6760.967996611435,2452.369081483937,-1468.172306281656
28666.02436094888,-3941.849108384457,6427.474270801254,2957.95122751795,-1911.332574588538
28666.02554845453,-4345.01662967586,6026.171643021733,3430.776166145835,-2333.054316773708
28666.02673281392,-4700.72859046339,5561.615868823302,3865.73830759175,-2728.751063340229
28666.02791375439,-5005.223995589616,5039.042915962273,4258.188606431014,-3094.156988877561
28666.02909101306,-5255.32606820623,4464.321133161157,4603.967410799512,-3425.358138146542
28666.03026437563,-5448.484571495781,3843.862560095574,4899.461557580335,-3718.846914143914
28666.03143368208,-5582.796510943892,3184.538342239779,5141.638925629723,-3971.557663410742
28666.03259881584,-5657.016179033697,2493.599965530957,5328.071269561544,-4180.892124652311
28666.03375967764,-5670.560684428724,1778.609709572282,5456.951004828287,-4344.739135212017
