DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28819.00005826831,7217.504851434363,-2680.655094250726,6701.545029951375,58.15906809626831
28819.00075271275,7209.161969804883,-2987.504544530743,6573.05542831203,353.109291175739
28819.00184861135,7140.330244737438,-3448.218464294264,6319.727713264847,815.3941078210635
28819.00300460931,6995.01838724368,-3899.003343451106,5988.213648471497,1294.618855730505
28819.0041711993,6774.749429907872,-4312.868076690228,5590.661754152266,1764.554254449128
28819.00534281143,6481.931128863957,-4682.92578282774,5132.337536538455,2217.802301288175
28819.0065186857,6119.471990881657,-5004.777162577235,4618.074414708678,2649.160857430807
28819.00769857415,5690.985343642664,-5274.725934164326,4053.187886828831,3053.854801648906
28819.00888219018,5200.84525411887,-5489.621839910578,3443.596704691069,3427.367524354808
28819.0100692365,4654.133009925155,-5646.906745688796,2795.747522456311,3765.50347050887
28819.01125935002,4056.6114631978,-5744.641618196112,2116.576895120219,4064.422855554378
28819.01245213219,3414.656695371988,-5781.544414550721,1413.423241415816,4320.701458235424
28819.01364712474,2735.205964701311,-5757.014668431008,693.9614653018683,4531.372114084292
28819.0148438332,2025.672183336208,-5671.153683743949,-33.89661759332216,4693.973532451482
28819.01604174346,1293.850959507491,-5524.77075879017,-762.1043852926665,4806.588342966273
28819.01724031002,547.8375417592924,-5319.381894790012,-1482.568959495879,4867.87054550742
28819.01843897643,-204.0813166120514,-5057.195770068215,-2187.261703256883,4877.069439707472
28819.01963717998,-953.5303041414608,-4741.09006831491,-2868.319393783302,4834.04254883559
28819.0208343741,-1692.161736158699,-4374.572571075537,-3518.153667590711,4739.258558977921
28819.02202997563,-2411.725977029983,-3961.756537238767,-4129.516927161303,4593.798078741147
28819.02322348092,-3104.243809744857,-3507.272897874378,-4695.653038413562,4399.3292864247
28819.02441437553,-3762.04876999835,-3016.240425310897,-5210.331079185546,4158.093995279794
28819.02560220887,-4377.922447466471,-2494.172923464119,-5667.954327910741,3872.865713111129
28819.0267865471,-4945.152896160972,-1946.927566672561,-6063.602775432419,3546.920397309013
28819.02796703051,-5457.63994785514,-1380.605228749531,-6393.107284613234,3183.977606876054
28819.02914334006,-5909.943604615881,-801.4884470289701,-6653.077332399208,2788.157885386662
28819.03031522352,-6297.350504413566,-215.9516780805025,-6840.937370037051,2363.919959921413
28819.03148247936,-6615.911388418122,369.6076880389127,-6954.940156751266,1916.007715606291
28819.03264498913,-6862.482116759888,948.8602905579029,-6994.17536058207,1449.377456859012
28819.03380268065,-7034.733520212029,1515.597934631323,-6958.559447092662,969.150456839706
28819.034955558,-7131.167602367947,2063.815822536547,-6848.821072930572,480.5399912053526
28819.0361036736,-7151.11236191219,2587.761490064127,-6666.476499650671,-11.19728379961722
28819.03724714325,-7094.713913615962,3081.999475201743,-6413.795998306492,-500.8258506944628
28819.03838613648,-6962.91673613244,3541.458285143871,-6093.764407121502,-983.1830732619771
28819.03952088491,-6757.435057769804,3961.478835753221,-5710.031615613317,-1453.235369926835
28819.04065164011,-6480.727057734599,4337.838415871175,-5266.875590058962,-1906.110123991147
28819.04177870132,-6135.954114445669,4666.796937043051,-4769.140697851891,-2337.15390984859
28819.04290240199,-5726.939492813594,4945.120819462803,-4222.184129369982,-2741.969614311512
28819.04402309201,-5258.12801436916,5170.103114651119,-3631.82484021149,-3116.449623938369
28819.04514114821,-4734.532186744616,5339.586165988973,-3004.276984546598,-3456.816041450818
28819.04625694683,-4161.690932618552,5451.972364193463,-2346.101494764993,-3759.645241444216
28819.04737087574,-3545.608453590067,5506.238438698975,-1664.134979487298,-4021.902562933232
28819.04848332913,-2892.696602637449,5501.940857022209,-965.4258440369026,-4240.967312534299
28819.04959470844,-2209.711209175019,5439.216720700679,-257.1656760844346,-4414.65552098214
28819.05070538012,-1503.713591965256,5318.784668524726,453.3523508594651,-4541.234072326039
28819.05181573322,-781.9676389690001,5141.934794226085,1158.839920219614,-4619.446364378015
28819.05292615539,-51.88404154572262,4910.514655397827,1852.067912729702,-4648.518100083827
28819.05403702428,679.0447679605726,4626.913015300865,2525.929837687069,-4628.164067599726
28819.05514869027,1403.304912605781,4294.043642972432,3173.500173721766,-4558.593317635265
28819.05626151869,2113.461170371041,3915.306660240526,3788.126681577465,-4440.506524877781
28819.05737585839,2802.208012984136,3494.564169517831,4363.47563960813,-4275.090156343744
28819.05849204531,3462.443000380251,3036.103683897166,4893.596321204538,-4064.006631525596
28819.05961040622,4087.338403340379,2544.596270761344,5372.981519178617,-3809.378813093384
28819.06073126588,4670.411303094656,2025.048596991177,5796.624069382554,-3513.768142049997
28819.06185494223,5205.582954701078,1482.756858430358,6160.062592206749,-3180.150875360267
28819.06298170231,5687.219368792549,923.2785476882195,6459.414017563813,-2811.904871991359
28819.06411182401,6110.218372813466,352.3502215197752,6691.434996335174,-2412.76081071789
28819.06524555674,6470.043094360293,-224.1485528360099,6853.543779839241,-1986.779066583039
28819.06638312994,6762.773881049606,-800.255670802585,6943.852394929959,-1538.30961734086
28819.06752474063,6985.148203771635,-1369.977952976282,6961.189432496403,-1071.956414775952
28819.06867054252,7134.599351096062,-1927.344994812098,6905.120616062746,-592.5390609146464
28819.06982067849,7209.294386448422,-2466.484923036098,6775.96008028365,-105.0333812642101
28819.07097523022,7208.155205974534,-2981.660287674697,6574.779003893816,385.4558317594491
28819.07213423858,7130.88507977165,-3467.339305581173,6303.406405905896,873.753845160212
28819.07329771858,6977.980314871728,-3918.261570730249,5964.416139312457,1354.67480618468
28819.07446560306,6750.744266399721,-4329.475173668678,5561.127505361833,1823.052563602046
28819.07563779975,6451.281359253621,-4696.417804516139,5097.567365768497,2273.820117579072
28819.07681415986,6082.49175513733,-5014.959992692691,4578.447649211109,2702.05281982988
28819.07799447479,5648.056934841428,-5281.458519656404,4009.129173484964,3103.024325925809
28819.07917849086,5152.40863170011,-5492.810001961421,3395.567554315563,3472.268346356629
28819.08036590034,4600.695475173203,-5646.493264480988,2744.261016116738,3805.630491886768
28819.08155633156,3998.743150397981,-5740.609071469281,2062.192281665389,4099.319786739938
28819.08274936673,3352.991475125858,-5773.917111925437,1356.746780181876,4349.965376920123
28819.08394455893,2670.41866082207,-5745.860972292809,635.6217795401606,4554.666127092173
28819.08514141539,1958.475138033822,-5656.583957410411,-93.25066747075368,4711.028238608135
28819.08633941776,1224.989211127428,-5506.9367065062,-821.8077991135463,4817.204581318299
28819.08753801557,478.0806202749033,-5298.47588773299,-1541.948275056843,4871.922823512969
28819.08873667581,-273.9664316586137,-5033.442656781222,-2245.6599245886,4874.508007526452
28819.08993480374,-1022.753846938614,-4714.756331314687,-2925.071456000686,4824.893682761925
28819.09113184906,-1759.938780070182,-4345.959482601133,-3572.612488240514,4723.626948480297
