DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28575.00005826831,4508.538504394941,4488.629640834823,-543.0189285729416,5626.485083125226
28575.00075271275,4380.441316526618,4444.526449017344,-106.7704076829054,5700.010801842734
28575.00184637166,4145.297521022486,4341.060908523011,580.4064427298272,5771.882434690941
28575.00300481766,3854.129836337089,4187.373807302402,1302.208711719528,5789.186635194025
28575.0041746706,3519.495709447773,3988.076562984415,2017.327272441887,5745.518686949443
28575.00534970527,3146.136311183239,3745.709992584817,2714.206434028063,5640.702118655984
28575.00652902677,2738.089038315737,3462.796519446591,3384.819229948524,5475.59442703499
28575.00771224217,2299.673354673864,3142.259375715762,4021.712730902622,5251.744888202235
28575.00889901902,1835.549504327921,2787.444223221577,4617.815050906853,4971.364755823973
28575.01008898615,1350.699838018078,2402.105296053815,5166.461258610851,4637.31706266726
28575.01128172966,850.3771442699607,1990.368945266834,5661.4748844391,4253.093804163645
28575.01247678113,340.05190653283,1556.695161395459,6097.244705417776,3822.789055893439
28575.01367371033,-174.6896416775961,1105.794752995575,6468.830731590309,3351.0234596169
28575.01487200876,-688.1609990651403,642.6179589887115,6771.986029023003,2842.935848021437
28575.01607117256,-1194.678004358064,172.2672952275122,7003.244204168672,2304.096526900174
28575.01727072757,-1688.636935350988,-300.0731496348891,7159.963862502715,1740.42892768115
28575.0184701691,-2164.556154287854,-769.1756288021063,7240.351060294683,1158.167038385759
28575.0196690158,-2617.164237298012,-1229.852037616498,7243.491779000149,563.7571448335375
28575.02086679143,-3041.455520368275,-1677.00873825144,7169.360545492179,-36.21076806552264
28575.0220630407,-3432.755714040156,-2105.713376103369,7018.820344203305,-635.0897262319543
28575.02325733482,-3786.778223863821,-2511.255044513056,6793.608331388912,-1226.258124588922
28575.02444928398,-4099.67624024522,-2889.202966628,6496.307321414336,-1803.204413742846
28575.02563850849,-4368.077882926176,-3235.447961101498,6130.317022876538,-2359.58961420522
28575.02682470579,-4589.137836435963,-3546.268061364462,5699.788317625764,-2889.352041091926
28575.02800757167,-4760.548039722807,-3818.345602169299,5209.591817503904,-3386.739096390397
28575.0291868522,-4880.571586183624,-4048.817325373298,4665.239317257859,-3846.395736690127
