DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28666.00005826831,7217.504851434361,-1064.977099787823,-7138.952111625928,-34.44596985643333
28666.00075271275,7209.161960219241,-660.9920560016651,-7195.372331158672,-211.2689651074299
28666.00184539555,7140.629053545685,-20.84759924396284,-7228.77210841318,-487.6116923999012
28666.00300153395,6995.487152126749,656.565455942949,-7190.592211431222,-774.9918178780131
28666.00416871739,6775.238827155502,1333.518823714264,-7076.295559534378,-1056.944803207032
28666.00534078508,6482.352169783865,1999.192724233599,-6886.642983290773,-1328.8896684237
28666.00651682374,6119.790054627745,2645.947158824557,-6623.406557915569,-1587.676210879158
28666.00769648428,5691.230970324084,3266.652228761548,-6289.164536931495,-1830.428043274016
28666.0088794476,5201.100508708855,3854.456204758903,-5887.296017199249,-2054.442965683331
28666.01006538914,4654.529824350194,4402.843062139291,-5421.948149781816,-2257.215373369729
28666.0112539109,4057.334661308971,4905.678787932076,-4898.02237941892,-2436.455166858845
28666.01244460493,3415.928640947006,5357.318452216206,-4321.103887170087,-2590.128770472048
28666.01363703403,2737.262533268242,5752.667674407262,-3697.410023955845,-2716.481931279112
28666.01483073383,2028.747068931063,6087.249694705234,-3033.722984022695,-2814.063831808889
28666.01602523787,1298.154213183657,6357.270592465944,-2337.300376134383,-2881.748885718154
28666.01722005516,553.540503151858,6559.662557587068,-1615.804613516271,-2918.750427963856
28666.01841470375,-196.867897598275,6692.131607284126,-877.1942546958202,-2924.63368513711
28666.01960870138,-944.767054258728,6753.184142076383,-129.6353261672502,-2899.321055139329
28666.02080155534,-1681.868040207932,6742.147801703626,618.589206864859,-2843.094812829928
28666.02199280988,-2400.02543543056,6659.180880857338,1359.207982549577,-2756.592294384888
28666.02318199366,-3091.302854920854,6505.270957942506,2084.027753296782,-2640.800725935568
28666.02436869937,-3748.114378502703,6282.213799351712,2785.079938522069,-2497.038090747481
28666.02555253696,-4363.284309866532,5992.589653412612,3454.684895652608,-2326.938536226668
28666.02673314179,-4930.135232654401,5639.728722746249,4085.546594391673,-2132.431049235137
28666.02791018724,-5442.569990364605,5227.663590872335,4670.843244630701,-1915.712819494511
28666.02908338339,-5895.137703786616,4761.075772490953,5204.302712982221,-1679.221130478202
28666.03025247857,-6283.092480531561,4245.234242041234,5680.271838349856,-1425.60223334017
28666.03141729566,-6602.450860770974,3685.910038614773,6093.788329918773,-1157.669799397332
28666.03257767733,-6850.009440015307,3089.326850400699,6440.606549826954,-878.3819518653689
28666.03373352119,-7023.382896232698,2462.068716619905,6717.250875097295,-590.7980408462849
28666.03488478323,-7121.0169716263,1810.99688308088,6921.042231149883,-298.0411873964658
28666.0360314614,-7142.189845175511,1143.177230715636,7050.111173120692,-3.266283875854406
28666.03717360527,-7087.007812538301,465.7935497940174,7103.407490736281,290.3778215282485
28666.03831130333,-6956.390783430945,-213.9255878001906,7080.697317261199,579.7794537730441
28666.03944470041,-6752.047224020578,-888.795998503148,6982.552141858452,861.9015446799654
28666.0405739925,-6476.440069473205,-1551.750557377468,6810.326024364452,1133.811185947957
28666.04169940065,-6132.754131469928,-2195.895940806829,6566.131761151371,1392.702288160867
28666.04282117264,-5724.85496854326,-2814.582989778834,6252.810605532882,1635.923622995477
28666.04393962335,-5257.223118368055,-3401.492898761909,5873.879593694533,1861.012092504027
28666.04505510068,-4734.907228976671,-3950.675030298637,5433.490213221936,2065.706071930137
28666.04616797183,-4163.472848994775,-4456.593398981394,4936.384075387846,2247.962256525252
28666.04727861036,-3548.950393092139,-4914.171091082675,4387.847421450361,2405.971544582132
28666.04838744232,-2897.746325204753,-5318.853026717579,3793.631339423097,2538.180405906098
28666.04949490617,-2216.597637565856,-5666.624065729811,3159.90862612587,2643.295664422994
28666.05060143273,-1512.519231806977,-5954.037175345086,2493.225084713767,2720.293205082583
28666.05170747297,-792.7197975151623,-6178.250947474082,1800.420427577278,2768.428584912847
28666.05281349143,-64.53713117121757,-6337.047600258071,1088.565719142359,2787.240431574483
28666.05391993678,664.6105846813753,-6428.845700469448,364.9161309714679,2776.552639011686
28666.05502725596,1387.30214663546,-6452.717185719619,-363.1646191138441,2736.476446689097
28666.05613588709,2096.176966782588,-6408.394715638547,-1088.267484753645,2667.409228854127
28666.05724627019,2784.009199022397,-6296.273200497172,-1803.012873394402,2570.029989152382
28666.05835879436,3443.742115055983,-6117.413562610107,-2500.084809142835,2445.29861371498
28666.05947385959,4068.592881206563,-5873.530621246418,-3172.338962337022,2294.443220100643
28666.0605918277,4652.087590286533,-5566.986971955841,-3812.839074240379,2118.955015040171
28666.06171302847,5188.130095886876,-5200.777578536677,-4414.929118013046,1920.576702966317
28666.06283778265,5671.074007930553,-4778.499100265699,-4972.311130089213,1701.283963566815
28666.06396632789,6095.750277404858,-4304.349649910459,-5479.07314532548,1463.283400838098
28666.06509890683,6457.562816839868,-3783.062977097478,-5929.796640299615,1208.976922392658
28666.06623572368,6752.519520327154,-3219.882888601408,-6319.592049192056,940.9483119790189
28666.06737691528,6977.275522547792,-2620.534037414691,-6644.147264360453,661.9473483196485
28666.06852258809,7129.188885336033,-1991.153725185717,-6899.795031460997,374.8559272460243
28666.06967278738,7206.353621971444,-1338.25132451809,-7083.552930998243,82.66790148865651
28666.07082753527,7207.635694468183,-668.6249817975024,-7193.173285427247,-211.5500526400139
28666.07198680595,7132.692640507851,10.69203249710508,-7227.171697818212,-504.6833996965374
28666.07315049446,6981.996009630489,692.4840020834022,-7184.858283799575,-793.5944798127994
28666.07431848178,6756.835494007728,1369.46657332415,-7066.360261340172,-1075.172811762514
28666.07549057922,6459.323919529565,2034.333084754006,-6872.634502651263,-1346.355816705741
28666.07666655198,6092.386137397192,2679.850166591159,-6605.471760072432,-1604.170055177903
28666.07784615131,5659.726416589433,3298.95734495424,-6267.479775597944,-1845.772715880407
28666.07902905245,5165.818214068114,3884.815989046417,-5862.080864370904,-2068.472422703693
28666.08021492785,4615.836976927323,4430.929123209817,-5393.463278979088,-2269.777174481561
28666.08140339768,4015.628390875273,4931.194743100378,-4866.557719368528,-2447.415562126299
28666.08259403005,3371.652466009049,5379.985483965639,-4286.993643597192,-2599.367866695995
28666.08378640686,2690.879434402802,5772.245478842873,-3661.009564186997,-2723.901326900561
28666.08498007537,1980.736722890349,6103.533861552564,-2995.406441999194,-2819.585552270129
28666.0861745542,1249.023360761185,6370.087321483104,-2297.471187539757,-2885.314019350068
28666.08736936473,503.801101041504,6568.877855701389,-1574.875803984896,-2920.321821864484
28666.08856399527,-246.6782683381448,6697.646721567926,-835.6093334047815,-2924.195504300295
28666.08975799041,-994.1267628370734,6754.94485631377,-87.8286599299386,-2896.880035830928
28666.09095085514,-1730.259107445331,6740.139921394547,660.1796841244509,-2838.679188521436
28666.09214212488,-2446.93556374296,6653.431459264901,1400.141656158568,-2750.25217820767
28666.09333134749,-3136.24783032819,6495.845511498472,2123.883513021063,-2632.605274713724
28666.09451810244,-3790.623926832548,6269.21786198159,2823.440696356889,-2487.077076193847
28666.09570198963,-4402.910271634357,5976.169595021131,3491.144868696624,-2315.322003160438
28666.09688264722,-4966.463813711548,5620.067840107888,4119.723541159787,-2119.28657233921
28666.0980597394,-5475.220871717662,5204.983649957222,4702.376579961376,-1901.186041142667
28666.0992329764,-5923.77321895028,4735.632002963683,5232.862959247005,-1663.472683945331
28666.1004021262,-6307.427038548834,4217.303004866085,5705.571600004433,-1408.801399768867
28666.10156699187,-6622.239665470641,3655.802059103006,6115.568262736393,-1140.000816121204
28666.10272742854,-6865.06130400131,3057.369414714574,6458.650834610849,-860.0349794543607
28666.10388332929,-7033.556888890416,2428.609827593386,6731.382871844104,-571.9708810251275
28666.10503464377,-7126.224561157267,1776.402914318334,6931.126855437278,-278.9377369697615
28666.10618136549,-7142.397135686706,1107.828164354316,7056.057848627801,15.9060969402148
28666.1073235541,-7082.235445535493,430.0701337794231,7105.172151770694,309.4143448304063
28666.10846131612,-6946.709439664382,-249.6511443096295,7078.279466225807,598.4820891233035
28666.10959478316,-6737.578456904577,-924.1452590991345,6975.99350039273,880.0730153562573
28666.11072414709,-6457.355471071317,-1586.34812080013,6799.711477950164,1151.259407052263
28666.11184962251,-6109.274965978606,-2229.372184741669,6551.589780839805,1409.241974995964
28666.11297147269,-5697.242244921918,-2846.590211187537,6234.506238463932,1651.38310735384
28666.11409002628,-5225.771667212,-3431.706242260917,5852.009129752987,1875.233719408772
28666.1152056047,-4699.959699095052,-3978.774398737282,5408.29297490479,2078.539626582977
28666.1163185737,-4125.407674772849,-4482.280736266194,4908.133635101478,2259.27207530012
28666.11742932116,-3508.168907785976,-4937.179474925641,4356.84066698491,2415.639940547017
28666.11853824445,-2854.692589161824,-5338.931671224846,3760.20682074017,2546.102767901342
28666.11964577332,-2171.744797454514,-5683.551857542107,3124.435650594599,2649.385701940072
28666.12075235578,-1466.348399339215,-5967.632680443822,2456.08468561905,2724.486078932293
28666.12185846073,-745.7133116011804,-6188.37036471571,1761.998971822757,2770.679703278182
28666.12296451095,-17.21285112332077,-6343.575135007764,1049.288854478207,2787.523764075082
28666.12407097077,711.7416212562899,-6431.70754230181,325.2089484941117,2774.863966112566
28666.12517829113,1433.733465847109,-6451.878646224478,-402.8749767934973,2732.83230716436
28666.12628691076,2141.409439488747,-6403.859926911935,-1127.553906744447,2661.846599950947
28666.12739725675,2827.547866677485,-6288.086833264224,-1841.444014970543,2562.607233808056
28666.12850975316,3485.130285322125,-6105.654482997987,-2537.259894082101,2436.090242504307
28666.12962478122,4107.383457978068,-5858.316489298008,-3207.857258607416,2283.543833759099
28666.13074270964,4687.862992189708,-5548.469859189478,-3846.320064973105,2106.47586339823
28666.13186385621,5220.49692892278,-5179.147962331467,-4446.005766850032,1906.647674811952
28666.13298853956,5699.673488365243,-4753.982525410646,-5000.640345705543,1686.051211814289
28666.13411702805,6120.274308092885,-4277.190429489961,-5504.354089611998,1446.900868448998
28666.13524954847,6477.737082013982,-3753.539216115666,-5951.750623302169,1191.613906448172
28666.13638629377,6768.111262052784,-3188.304072022148,-6337.970301884667,922.7876131459773
28666.13752741404,6988.103221424463,-2587.226178720301,-6658.742710613517,643.1777978845502
28666.13867301852,7135.120201379633,-1956.460540609611,-6910.439650255635,355.6727474233483
28666.13982316068,7207.306738480991,-1302.527606345395,-7090.119891922009,63.26937484672968
