DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28758.00005826831,4508.538504394941,-4513.207123679964,270.9072898650506,5626.506082735763
28758.00075271275,4380.441429401355,-4442.859241981379,-161.8882651130189,5700.011806610392
28758.00185014956,4144.417526885338,-4297.545052243785,-843.9096593876109,5772.007432963806
28758.00300908282,3852.983905597169,-4100.347550403785,-1555.377055342344,5789.078009200287
28758.00417941734,3518.064043465227,-3858.00032436159,-2257.373279018331,5745.127873708143
28758.0053550094,3144.37910110595,-3573.722000225849,-2938.555982743052,5639.976878967565
28758.00653492016,2735.982484392908,-3250.525869744365,-3591.027823260229,5474.482950036516
28758.00771877651,2297.191371179304,-2891.777145529222,-4207.524957296995,5250.192172418821
28758.00890618511,1832.695648545008,-2501.266394790365,-4781.148842321947,4969.331210547202
28758.01009677075,1347.488886754625,-2083.15353537079,-5305.466117567034,4634.773631847351
28758.01129007087,846.8541419890787,-1641.957760385191,-5774.539489601773,4250.038650179625
28758.01248562964,336.266620291145,-1182.475700703096,-6183.047522686946,3819.232002928699
28758.01368295977,-178.6546141482497,-709.7397536649951,-6526.335977475366,3347.012121564234
28758.01488157382,-692.2260573306415,-228.9476376639977,-6800.488405902372,2838.52690869999
28758.01608096913,-1198.760885792526,254.5930012107568,-7002.371682512503,2299.360198636528
28758.01728062429,-1692.635926242398,735.5261907126305,-7129.679252984785,1735.469430657808
28758.01848003742,-2168.37554496237,1208.527286315219,-7180.967156943125,1153.097612203215
28758.01967872963,-2620.717913491718,1668.367912689411,-7155.667529127316,558.6955050928764
28758.02087625648,-3044.680326356399,2109.981656290631,-7054.089581505872,-41.16186669711487
28758.02207215938,-3435.600024670492,2528.50554491425,-6877.41692720451,-639.8293020613833
28758.02326603494,-3789.212542986372,2919.362147015897,-6627.684686708323,-1230.70477898805
28758.02445750143,-4101.687164534907,3278.299014221917,-6307.752091274821,-1807.290249678806
28758.02564621375,-4369.673292973439,3601.441101251958,-5921.260737676018,-2363.274330070068
28758.02683186251,-4590.334873203251,3885.332133696406,-5472.585520700156,-2892.603675442166
28758.02801417568,-4761.378802416231,4126.971108056933,-4966.776857413668,-3389.55142327462
28758.0291929209,-4881.076198451598,4323.842664903693,-4409.495060029139,-3848.780774471115
28758.0303679191,-4948.276490751209,4473.941955378673,-3806.932065779444,-4265.406290019411
28758.03153900137,-4962.411400187927,4575.785992662436,-3165.757489229597,-4635.028866096587
28758.03270604305,-4923.499383880309,4628.431147608383,-2493.023182852243,-4953.794046291201
28758.03386896601,-4832.137260101719,4631.476389596985,-1796.077534942194,-5218.42851900886
28758.0350277136,-4689.488593855023,4585.061154833093,-1082.495230890315,-5426.263964172051
28758.03618225858,-4497.266189425901,4489.859974717476,-359.9872683642197,-5575.264136700936
28758.03733263013,-4257.702024973671,4347.066269525678,363.7023931872272,-5664.043118092038
28758.03847883558,-3973.533307657484,4158.383253124773,1080.833152490497,-5691.867522576838
28758.03962098112,-3647.940899676372,3925.983612162442,1783.827162009108,-5658.664922438391
28758.04075916171,-3284.534533862661,3652.496210501781,2465.281013186795,-5565.011416708992
28758.04189350031,-2887.302066329141,3340.968968463168,3118.068532836142,-5412.122886678051
28758.04302416995,-2460.553867356732,2994.824479105137,3735.426281162089,-5201.830479879384
28758.04415136711,-2008.881370784064,2617.825261909791,4311.005022511734,-4936.555607868951
28758.04527533648,-1537.095455599539,2214.021715956853,4838.943455486767,-4619.271176899583
28758.04639633826,-1050.18640452786,1787.716904772832,5313.905807735257,-4253.470716445455
28758.04751465718,-553.2672701125531,1343.416853415354,5731.135888780738,-3843.125156020935
28758.04863064405,-51.50136141431186,885.7648147223254,6086.511059609233,-3392.619093861484
28758.04974465213,449.9222486874706,419.5176067883342,6376.54955625058,-2906.723215439677
28758.05085706964,945.8543447031162,-50.5153662277437,6598.44837200953,-2390.530536143448
28758.05196833705,1431.242372164302,-519.5270496453664,6750.100289028264,-1849.3925206269
28758.05307887164,1901.144149465204,-982.7266921411709,6830.092656227658,-1288.900589417256
28758.05418914579,2350.806926824128,-1435.417261120445,6837.724257594018,-714.7934725098671
28758.05529963346,2775.685972738979,-1873.015327659724,6772.996707642614,-132.9283539554945
28758.05641081429,3171.486564683114,-2291.0938528272,6636.611072905102,450.7752366236987
28758.05752318545,3534.204942582134,-2685.425251200636,6429.954840066052,1030.395499765628
28758.05863721876,3860.14853108328,-3052.002881927797,6155.093659228318,1600.03917586481
28758.05975340792,4145.983207956895,-3387.092651073066,5814.74252293572,2153.918401619346
28758.06087221259,4388.746361740603,-3687.247614789721,5412.255035429043,2686.373667208199
28758.06199406784,4585.879693293785,-3949.344655727297,4951.59700365655,3191.930747275214
28758.06311938909,4735.256118388526,-4170.616163006979,4437.313070894118,3665.353845564611
28758.06424854258,4835.199423061229,-4348.672887379075,3874.504386713815,4101.683373434902
28758.06538186347,4884.509020934703,-4481.535404278758,3268.781068501797,4496.294068679414
28758.06651962921,4882.476904243877,-4567.655504096077,2626.230689461669,4844.934295158639
28758.06766206667,4828.905090624132,-4605.941073433707,1953.364988528261,5143.777874058727
28758.06880933011,4724.119707894608,-4595.776154778531,1257.077022139287,5389.465865678004
28758.06996153033,4568.977667755918,-4537.038540974763,544.5618229647298,5579.158742153252
28758.07111871008,4364.870864261276,-4430.111324651621,-176.7370518905632,5710.571202634418
28758.07228082961,4113.728240979626,-4275.893796558575,-899.1918587881933,5782.010177510686
28758.07344781149,3817.998507153132,-4075.798670646589,-1615.097579485695,5792.41116133482
28758.07461949948,3480.642794667683,-3831.752590055891,-2316.72961123678,5741.360420767162
28758.07579566973,3105.111642887245,-3546.185869032958,-2996.438175859705,5629.117066260193
28758.07697605452,2695.308187830584,-3222.009529513268,-3646.751501597412,5456.622121478308
28758.07816034335,2255.549723189394,-2862.588743922127,-4260.464726374854,5225.497662603558
28758.07934816457,1790.531285113439,-2471.716937451018,-4830.718668956146,4938.043001292053
28758.0805390962,1305.273294154725,-2053.57590901456,-5351.093858739689,4597.218641253063
28758.08173270358,805.0509362676311,-1612.678212562568,-5815.709487146373,4206.609365500031
28758.08292851913,295.3418765886656,-1153.823435349561,-6219.288805912011,3770.392575533672
28758.08412604772,-218.2393168111892,-682.0420117553758,-6557.23135403041,3293.293210972073
28758.08532480277,-730.0229496395107,-202.5223923144169,-6825.682968138217,2780.51655193878
28758.0865242662,-1234.334767113936,279.4345344329331,-7021.574900703471,2237.704327676291
28758.08772394039,-1725.586092234023,758.4992457959056,-7142.675317254672,1670.846570222861
28758.08892331563,-2198.327408048306,1229.364515751954,-7187.611574316983,1086.224579820361
28758.09012193063,-2647.337365320916,1686.832507086362,-7155.889484035706,490.3065708384643
28758.09131931178,-3067.660437868778,2125.852585199725,-7047.894105921768,-110.3006248539473
28758.0925150362,-3454.688083830857,2541.604399823028,-6864.880629090372,-708.9613482521193
28758.09370867861,-3804.193090655854,2929.534436376151,-6608.96009703215,-1299.063411456371
28758.09489987761,-4112.397762743558,3285.430383313662,-6283.058543738261,-1874.128538525194
28758.09608828836,-4375.999671120397,3605.451546028,-5890.884367580658,-2427.863632555467
28758.09727359402,-4592.211090274295,3886.175353290528,-5436.879186434994,-2954.238707082202
28758.09845554179,-4758.792615786925,4124.641203177099,-4926.145431478227,-3447.570015207657
28758.09963390501,-4874.065080408318,4318.369653658952,-4364.394006456214,-3902.564260219398
28758.10080849466,-4936.925783264962,4465.389019455353,-3757.86983674764,-4314.380425523136
28758.10197913262,-4946.855383523935,4564.250682947366,-3113.291014554159,-4678.672150158625
28758.10314571661,-4903.919725060363,4614.046775285499,-2437.73369601496,-4991.653141875371
28758.10430817135,-4808.759119915348,4614.407419569664,-1738.573534523991,-5250.115572587958
28758.10546644109,-4662.578114210695,4565.501282590203,-1023.40669469203,-5451.460215600388
28758.10662051314,-4467.124946106507,4468.028620650374,-299.9499239488064,-5593.724684716467
28758.10777040942,-4224.666382963142,4323.207098493336,424.0407157230547,-5675.59551249655
28758.10891617134,-3937.961041932547,4132.755294318193,1140.845381729252,-5696.415119249876
28758.11005788088,-3610.219962425942,3898.866257642885,1842.877083316959,-5656.183805088776
28758.11119562505,-3245.07710117455,3624.185918077209,2522.740838026547,-5555.554082376088
28758.11232956943,-2846.522568614099,3311.762474357904,3173.354968750128,-5395.810763592185
28758.11345986353,-2418.885700366122,2965.031547272431,3787.967067532258,-5178.857906044597
28758.11458671561,-1966.760397908871,2587.756190886888,4360.26499266159,-4907.183015864739
28758.1157103583,-1494.96483382155,2183.991879281289,4884.41750986254,-4583.827211212832
28758.1168310558,-1008.485819822967,1758.038453241455,5355.132574573385,-4212.34516829279
28758.11794911198,-512.4214468462874,1314.389125425195,5767.70691474149,-3796.758054917364
28758.11906486138,-11.93141676786495,857.6851505393397,6118.060408256973,-3341.508069491262
28758.12017865864,487.8106123098881,392.6717904478069,6402.765113544808,-2851.412632759401
28758.12129090648,981.6806476111113,-75.8614990205806,6619.076720941827,-2331.599250349664
28758.12240203519,1464.643895704689,-543.1197622233219,6764.942907169115,-1787.458858665774
28758.12351247977,1931.791494646369,-1004.338428478544,6839.011560917773,-1224.602695254734
28758.12462270532,2378.395999140421,-1454.838092386635,6840.639230297808,-648.7950517663339
28758.1257331933,2799.946833943952,-1890.060887015916,6769.886483794759,-65.90474185852872
28758.12684444128,3192.188627738408,-2305.610241977531,6627.509822883167,518.1490445615232
28758.12795694356,3551.150351996801,-2697.281617181872,6414.951754450874,1097.440029060679
28758.12907116918,3873.174041861536,-3061.09253138822,6134.332917756612,1666.076485253147
28758.13018760729,4154.961215069923,-3393.333379016417,5788.423057820012,2218.277260559122
28758.13130672773,4393.589364817753,-3690.58637841628,5380.624058805315,2748.402589065375
28758.1324289515,4586.535459001008,-3949.751118490871,4914.956398382166,3250.992094565982
28758.13355468466,4731.710664445523,-4168.085364529577,4396.017203796796,3720.832746282086
28758.13468430282,4827.479752880397,-4343.228952767008,3828.948817682773,4153.001305372765
28758.13581811639,4872.68032156679,-4473.226222612833,3219.41658866173,4542.90150975243
28758.13695640752,4866.645396162059,-4556.557571890554,2573.545431405205,4886.328046877784
28758.13809938452,4809.21768291994,-4592.157455912271,1897.893458843476,5179.499563884411
28758.13924720583,4700.76313547109,-4579.437652795399,1199.382604572891,5419.114169249335
28758.14039996338,4542.179404562941,-4518.30311948733,485.2454968617303,5602.389467467322
28758.14155770294,4334.895556768934,-4409.162928298975,-237.0557303518017,5727.106547764242
28758.14272036867,4080.878982551165,-4252.942726956912,-959.8691988183607,5791.64072373521
28758.14388788064,3782.612217867581,-4051.079033210385,-1675.481055154099,5795.001200907469
28758.14506008811,3443.084404154172,-3805.518127655748,-2376.169723834962,5736.849672392815
28758.14623676181,3065.773031610469,-3518.709110916786,-3054.288768079067,5617.521881643334
28758.14741762416,2654.606084835277,-3193.580658643692,-3702.374764595645,5438.037410465444
28758.14860234071,2213.927418192,-2833.517877257898,-4313.232310074295,5200.101179314232
28758.14979055306,1748.440531872629,-2442.320198969594,-4880.039427419762,4906.088068201127
28758.1509818348,1263.175267880303,-2024.176651969008,-5396.411378914988,4559.034541885805
28758.15217574887,763.4101861578215,-1583.602717793267,-5856.509968505436,4162.597642046602
28758.15337181236,254.6264482391039,-1125.402165571169,-6255.103579729146,3721.027923563596
28758.15456953776,-257.5731260396126,-654.5971208483591,-6587.651553916282,3239.110536684351
28758.15576842822,-767.5285660357532,-176.3706655088768,-6850.359267916103,2722.111612753316
28758.15696797724,-1269.590097723365,303.9942628956268,-7040.22715856682,2175.717657720675
28758.15816768038,-1758.190865443339,781.1824763279076,-7155.091929136103,1605.963715455429
28758.15936703621,-2227.914224765664,1249.910572700878,-7193.653967951893,1019.16103546231
28758.16056556735,-2673.566706764027,1704.998298354182,-7155.493215661283,421.8111012458389
28758.16176282291,-3090.239420557025,2141.430445917341,-7041.069156618041,-179.4740299979526
