DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
27724.00004669423,5216.805821720927,-2408.291795409829,4668.974236388103,4949.829311007194
27724.00074113868,5120.025233829704,-2778.790439269575,4427.132556931141,4993.404576148452
27724.00181703278,4931.942471648441,-3331.500488604405,4019.716045053724,5023.441574272301
27724.00297294913,4680.299714255068,-3891.642373735694,3541.696328940288,5005.046381684478
27724.00414221282,4376.492024055619,-4417.238781853315,3020.931920926613,4933.620259015658
27724.00531692291,4024.939677669536,-4898.485248382762,2465.805470646052,4809.49346467354
27724.00649596142,3629.430369967337,-5329.549155631792,1882.53879419085,4633.788900359842
27724.00767893533,3194.102450499319,-5705.485022026656,1277.395792225501,4408.201335206652
27724.00886548403,2723.554896459877,-6021.961315293078,656.9020073904893,4134.99619617067
27724.01005521469,2222.816883433692,-6275.289923008227,27.8011741562658,3816.994841046297
27724.01124768424,1697.301689395046,-6462.474645933572,-603.0120551515927,3457.553478473914
27724.01244245261,1152.723589775983,-6581.264004032842,-1228.600483830904,3060.513847946676
27724.01363902896,595.0562544209237,-6630.176493603161,-1842.038145936563,2630.178087804532
27724.01483691282,30.44523531428596,-6608.531764066265,-2436.515282547984,2171.248767729351
27724.01603559461,-534.8653663740276,-6516.462715713869,-3005.421048104592,1688.774012660511
27724.01723456974,-1094.614259617322,-6354.915838459458,-3542.430383690069,1188.082340489776
27724.01843333134,-1642.594767619295,-6125.641960767949,-4041.577106282514,674.7219949750474
27724.01963139205,-2172.739382012397,-5831.172122720842,-4497.335045506798,154.3852007787132
27724.02082825398,-2679.179357829283,-5474.794069601413,-4904.672775756458,-367.1474217946261
27724.02202349699,-3156.351628566432,-5060.485099596104,-5259.142545153849,-884.1145620023924
27724.02321668505,-3599.023324067909,-4592.887397263614,-5556.897146315775,-1390.802134537726
27724.02440743029,-4002.378248102557,-4077.23002484109,-5794.75298868953,-1881.638186329236
27724.02559537083,-4362.061633795579,-3519.270394945284,-5970.215929846791,-2351.248064039322
27724.02678017568,-4674.229874232907,-2925.221525084874,-6081.507113079419,-2794.518200876815
27724.02796156734,-4935.596274109741,-2301.663983055427,-6127.578850711056,-3206.661701085767
27724.02913931826,-5143.459599248066,-1655.466248624459,-6108.115303378655,-3583.267406414022
27724.03031321702,-5295.722546171057,-993.721669179731,-6023.528607914007,-3920.335490693185
27724.0314830957,-5390.915841708864,-323.6514325283817,-5874.948334007545,-4214.328608230765
27724.03264884342,-5428.206876510313,347.4866683607124,-5664.196611024609,-4462.208752224564
27724.03381037248,-5407.398600909461,1012.460611891463,-5393.763647664466,-4661.456918940272
27724.03496764739,-5328.925265665858,1664.160450456718,-5066.767229304206,-4810.101244482819
27724.03612065335,-5193.840951374878,2295.65734368637,-4686.918442616105,-4906.727233916011
27724.03726941196,-5003.801529399688,2900.286494103486,-4258.471477602361,-4950.49045863403
27724.03841398082,-4761.039264951703,3471.716416477821,-3786.17068884419,-4941.118882161853
27724.0395544627,-4468.328801289676,4004.017354308718,-3275.188786821685,-4878.907957072364
27724.04069098806,-4128.953874385023,4491.710773802834,-2731.072878188331,-4764.710128578533
27724.04182370018,-3746.672598920189,4929.817368878549,-2159.68954316733,-4599.922671388967
27724.04295278568,-3325.663448638696,5313.917472453447,-1567.144690158441,-4386.464009545393
27724.04407847342,-2870.474270199106,5640.18751498904,-959.7155915754689,-4126.74465058247
27724.04520100721,-2385.980674585657,5905.423406792337,-343.7978087646001,-3823.641365824088
27724.04632068471,-1877.315519319401,6107.075324675729,274.1829810292098,-3480.451809549336
27724.04743779012,-1349.84301426821,6243.251832815392,887.8000996276874,-3100.874991645524
27724.0485526792,-809.0633088629373,6312.745128413729,1490.737038836212,-2688.9427221825
