DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
28819.00005826831,4508.538504394941,-1953.580078014475,4077.335665249614,5626.620544489257
28819.00075271275,4380.441426694657,-2297.834137201863,3805.76835278275,5700.125360150184
28819.00185024793,4144.394523706717,-2823.651276076001,3347.651519554799,5772.123506421824
28819.00300920882,3852.949743296494,-3349.997007640667,2829.909045438604,5789.186663799198
28819.00417917687,3518.136306278339,-3845.987564746541,2277.479582314465,5745.250632085992
28819.00535435028,3144.597584382834,-4303.43816852772,1698.532625446551,5640.156770702778
28819.00653386425,2736.360761233513,-4716.941593543803,1099.493896473298,5474.757182051051
28819.00771733381,2297.741233728008,-5081.778213208123,486.8299685804838,5250.594882167056
28819.00890440964,1833.405789331524,-5393.768648654714,-132.826510455875,4969.880691322294
28819.01009471609,1348.340747553407,-5649.30144646493,-752.7217381977629,4635.477643263825
28819.01128779701,847.8202195364595,-5845.372816317595,-1366.030241575402,4250.892533928767
28819.01248321218,337.307744801396,-5979.65027994093,-1965.985135619738,3820.214970110334
28819.01368046734,-177.5779752180477,-6050.494062859992,-2545.923152938659,3348.095612499372
28819.01487908934,-691.1608248481316,-6056.990048006182,-3099.402269445947,2839.667835097674
28819.01607855131,-1197.742808240495,-5998.961906154629,-3620.244473616383,2300.519235136021
28819.01727834531,-1691.703729861922,-5876.979956204868,-4102.646071074341,1736.597229486223
28819.01847797308,-2167.564582788526,-5692.352985450623,-4541.242417693909,1154.140866470227
28819.01967694792,-2620.05383222984,-5447.111923327827,-4931.172585363076,559.6049702531209
28819.0208747924,-3044.169544363191,-5143.985770531851,-5268.136555651789,-40.41611364981691
28819.02207105953,-3435.246136879444,-4786.362462398994,-5548.451508037788,-639.2781970460314
28819.02326530873,-3789.000765065701,-4378.252819896166,-5769.087467609492,-1230.354826696567
28819.02445714699,-4101.595466204453,-3924.227259024351,-5927.709258307337,-1807.136494007017
28819.02564622826,-4369.676597775573,-3429.354845981649,-6022.695018986846,-2363.305829473404
28819.02683221954,-4590.402016514775,-2899.153512329715,-6053.145919122376,-2892.794060959639
28819.0280148286,-4761.477542046942,-2339.511746955671,-6018.894741597826,-3389.863378997181
28819.02919382477,-4881.17929550306,-1756.605572577914,-5920.497489143579,-3849.177951890414
28819.03036899635,-4948.361027841444,-1156.844441831576,-5759.220151657213,-4265.843092505087
28819.03154018245,-4962.464870008145,-546.780541919926,-5537.014916151423,-4635.469167151901
28819.0327072417,-4923.520025852043,66.95108184418405,-5256.495443958771,-4954.205491352401
28819.03387011653,-4832.133362845128,677.741495908012,-4920.884369116683,-5218.794727686778
28819.03502873482,-4689.479746155561,1279.02984892967,-4533.994374508662,-5426.576312526324
28819.03618309713,-4497.277193791895,1864.420534333404,-4100.15596665394,-5575.530164758432
